barcode,positions,base_prop
,21,"[0.0012341869793273, 0.3640851589015736, 0.0, 0.634680654119099]"
,210,"[0.0003816793893129, 0.0, 0.5866412213740458, 0.4129770992366412]"
,1439,"[0.0, 0.0, 0.663188197193235, 0.336811802806765]"
,1639,"[0.5826446280991735, 0.4165289256198347, 0.0004132231404958, 0.0004132231404958]"
,2185,"[0.0001674480910917, 0.0001674480910917, 0.4996651038178165, 0.5]"
,2470,"[0.0, 0.3975535168195718, 0.0, 0.6024464831804281]"
,2832,"[0.3781645569620253, 0.0003955696202531, 0.6194620253164557, 0.0019778481012658]"
,3403,"[0.0003777148253068, 0.0, 0.5057601510859301, 0.493862134088763]"
,4181,"[0.0003994407829039, 0.0005991611743559, 0.5436389055322548, 0.4553624925104853]"
,5386,"[0.0, 0.0, 0.5897233201581028, 0.4102766798418972]"
,6402,"[0.0005527915975677, 0.5065413672378847, 0.0, 0.4929058411645476]"
,7124,"[0.0008287292817679, 0.6052486187845304, 0.0002762430939226, 0.393646408839779]"
,8393,"[0.6024096385542169, 0.0, 0.3970665269774751, 0.000523834468308]"
,8986,"[0.0009980039920159, 0.5608782435129741, 0.0014970059880239, 0.436626746506986]"
,9053,"[0.0007639419404125, 0.0, 0.5622612681436211, 0.4369747899159664]"
,9803,"[0.0004878048780487, 0.5570731707317074, 0.0034146341463414, 0.4390243902439024]"
,10449,"[0.5991388589881593, 0.4006458557588805, 0.0002152852529601, 0.0]"
,10977,"[0.0018796992481203, 0.5451127819548872, 0.0012531328320802, 0.4517543859649123]"
,11201,"[0.5454941227688289, 0.0010883761427949, 0.4525468001741402, 0.0008707009142359]"
,11332,"[0.5830912704479437, 0.0004586454670539, 0.4155327931508943, 0.0009172909341079]"
,11537,"[0.4169558750619732, 0.0074367873078829, 0.5741199801685671, 0.0014873574615765]"
,11785,"[0.002323265847992, 0.5857948888151344, 0.0, 0.4118818453368735]"
,12663,"[0.0016789358129923, 0.5407464806922382, 0.0, 0.4575745834947695]"
,13195,"[0.0011862396204033, 0.6227758007117438, 0.0, 0.3760379596678529]"
,13901,"[0.5009539384028345, 0.0002725538293813, 0.4955028618152085, 0.0032706459525756]"
,14940,"[0.3883016208597604, 0.0010570824524312, 0.6085271317829457, 0.0021141649048625]"
,15240,"[0.0017026106696935, 0.4568671963677639, 0.0005675368898978, 0.5408626560726447]"
,15451,"[0.4555453712190651, 0.0004582951420714, 0.5435380384967919, 0.0004582951420714]"
,16466,"[0.0024321037697608, 0.5699229833806242, 0.0004053506282934, 0.4272395622213214]"
,18163,"[0.4253358925143954, 0.000383877159309, 0.5731285988483685, 0.001151631477927]"
,19220,"[0.0009661835748792, 0.5623188405797102, 0.0019323671497584, 0.4347826086956521]"
,21618,"[0.002249086308687, 0.4017430418892325, 0.5923531065504639, 0.0036547652516165]"
,21762,"[0.0011305822498586, 0.2860373092142453, 0.001695873374788, 0.711136235161108]"
,22578,"[0.7622711594587424, 0.0, 0.2369328734412311, 0.0007959671000265]"
,22599,"[0.7503534068419565, 0.0002827254735651, 0.248798416737348, 0.0005654509471303]"
,22673,"[0.0004302925989672, 0.6088640275387264, 0.0004302925989672, 0.390275387263339]"
,22674,"[0.0012919896640826, 0.392334194659776, 0.0, 0.6063738156761412]"
,22679,"[0.0012908777969018, 0.6019793459552496, 0.0, 0.3967297762478485]"
,22686,"[0.0004108463434675, 0.3833196384552177, 0.0, 0.6162695152013147]"
,22813,"[0.0, 0.0, 0.6413199426111909, 0.3586800573888092]"
,22882,"[0.0006631299734748, 0.0013262599469496, 0.2785145888594164, 0.7194960212201591]"
,22898,"[0.2821969696969697, 0.0, 0.7171717171717171, 0.0006313131313131]"
,22917,"[0.0092059838895281, 0.003452243958573, 0.6501726121979287, 0.33716915995397]"
,22992,"[0.6142299609726809, 0.0006004202942059, 0.3839687781447013, 0.0012008405884118]"
,23013,"[0.3751812119454914, 0.6239489707161496, 0.0, 0.0008698173383589]"
,23040,"[0.3535864978902953, 0.0, 0.6461322081575246, 0.00028129395218]"
,23048,"[0.6535564853556486, 0.0, 0.3458856345885635, 0.000557880055788]"
,23055,"[0.329523278505715, 0.0, 0.6696403679955395, 0.0008363534987454]"
,23063,"[0.3404195804195804, 0.0002797202797202, 0.0005594405594405, 0.6587412587412588]"
,23075,"[0.0002746498214776, 0.670969513869816, 0.0, 0.3287558363087064]"
,23202,"[0.5681281176161722, 0.4313468101864006, 0.0, 0.0005250721974271]"
,23525,"[0.0009625962596259, 0.4174917491749175, 0.0001375137513751, 0.5814081408140814]"
