ID,Column_ID,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_Freq,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_LNum
1,9,375,94
2,47,369,94
3,71,391,94
4,95,383,94
5,113,381,94
6,179,457,94
7,260,448,93
8,303,424,93
9,335,443,94
10,404,469,70
11,417,469,94
12,437,514,94
13,466,530,94
14,467,533,94
15,563,582,94
16,566,584,94
17,647,574,94
18,782,324,94
19,793,297,89
20,821,370,94
21,914,275,94
22,925,324,91
23,1001,297,94
24,1055,298,94
25,1102,337,93
26,1160,349,94
27,1207,385,94
28,1232,349,94
29,1323,332,94
30,1373,351,94
31,1418,357,94
32,1620,111,94
33,1665,178,94
34,1817,696,94
35,1923,912,94
36,1992,336,94
37,2129,1010,94
38,2135,883,94
39,2141,836,94
40,2204,1024,91
41,2426,1212,94
42,2636,1314,93
43,2771,1193,91
44,2874,939,94
45,2975,919,94
46,3162,865,94
47,3191,873,94
48,3248,862,94
49,3471,216,94
50,3530,648,94
51,3586,714,94
52,3736,656,92
53,3915,830,86
54,4034,784,94
55,4191,859,94
56,4417,1046,94
57,4627,997,94
58,4660,1106,94
59,4918,848,87
60,5249,194,93
61,5315,351,94
62,5658,251,93
63,7205,1904,94
64,7585,2187,92
65,7874,1720,93
66,8042,2160,94
67,9763,2805,36
68,9869,2838,93
69,10401,1561,1
70,10415,1587,94
71,10585,68,94
72,11894,52,90
73,12470,287,94
74,14075,1661,94
75,16775,1975,94
76,18320,3277,94
77,21307,697,94
78,21332,616,93
79,21378,713,71
80,21499,766,73
81,21937,387,94
82,21963,510,91
83,22336,825,54
84,22550,668,86
85,22570,620,93
86,22571,620,57
87,22640,473,56
88,22675,514,62
89,23693,2256,94
90,24674,1679,94
91,24816,1738,94
92,24817,1740,94
93,25395,1973,93
