barcode,positions,base_prop
,10,"[0.7837837837837838, 0.0, 0.0, 0.2162162162162162]"
,13,"[0.4393939393939394, 0.0, 0.0, 0.5606060606060606]"
,21,"[0.0, 0.6444444444444445, 0.0, 0.3555555555555555]"
,210,"[0.0, 0.0, 0.5718085106382979, 0.4281914893617021]"
,2832,"[0.5841514726507714, 0.0, 0.4158485273492286, 0.0]"
,4181,"[0.0, 0.0, 0.5774774774774775, 0.4225225225225225]"
,5386,"[0.0, 0.0, 0.3846614739364889, 0.6153385260635111]"
,5924,"[0.4440789473684211, 0.0, 0.5552631578947368, 0.0006578947368421]"
,6040,"[0.0, 0.6010802469135802, 0.0, 0.3989197530864197]"
,6402,"[0.0005813953488372, 0.5622093023255814, 0.0, 0.4372093023255814]"
,7124,"[0.0, 0.5640766902119072, 0.0, 0.4359233097880928]"
,8393,"[0.4833597464342313, 0.0, 0.5158478605388273, 0.0007923930269413]"
,8964,"[0.0009416195856873, 0.5649717514124294, 0.0, 0.4340866290018832]"
,8986,"[0.0, 0.6166394779771615, 0.0, 0.3833605220228385]"
,9053,"[0.0, 0.000754716981132, 0.6045283018867924, 0.3947169811320755]"
,10449,"[0.3732492997198879, 0.626750700280112, 0.0, 0.0]"
,11201,"[0.5475285171102662, 0.0, 0.4524714828897338, 0.0]"
,11332,"[0.5644515612489992, 0.0, 0.4355484387510008, 0.0]"
,11537,"[0.6262626262626263, 0.0, 0.3737373737373737, 0.0]"
,13195,"[0.0004235493434985, 0.3803473104616688, 0.0, 0.6192291401948327]"
,13482,"[0.5623678646934461, 0.0, 0.4376321353065539, 0.0]"
,15240,"[0.0004492362982929, 0.6671159029649596, 0.0, 0.3324348607367475]"
,15451,"[0.5049751243781094, 0.0004145936981757, 0.4946102819237147, 0.0]"
,16466,"[0.0, 0.5417201540436457, 0.0, 0.4582798459563543]"
,18163,"[0.619193689745837, 0.0, 0.380806310254163, 0.0]"
,19220,"[0.0, 0.5250544662309368, 0.0, 0.4749455337690632]"
,21372,"[0.0, 0.0, 0.5443702290076335, 0.4556297709923664]"
,21597,"[0.000559284116331, 0.5989932885906041, 0.0, 0.4004474272930649]"
,21618,"[0.0, 0.6022727272727273, 0.3977272727272727, 0.0]"
,21762,"[0.0, 0.7055214723926381, 0.0, 0.294478527607362]"
,22578,"[0.492156862745098, 0.0, 0.5078431372549019, 0.0]"
,22673,"[0.0, 0.3661327231121281, 0.0, 0.6338672768878718]"
,22674,"[0.0, 0.6327868852459017, 0.0, 0.3672131147540983]"
,22679,"[0.0, 0.3759398496240601, 0.0, 0.6240601503759399]"
,22686,"[0.0, 0.6070287539936102, 0.0, 0.3929712460063898]"
,22785,"[0.0, 0.0, 0.5117096018735363, 0.4882903981264637]"
,22813,"[0.0010172939979654, 0.0, 0.560528992878942, 0.4384537131230925]"
,22882,"[0.0, 0.0, 0.4615384615384615, 0.5384615384615384]"
,22898,"[0.4846938775510204, 0.0, 0.5153061224489796, 0.0]"
,22917,"[0.0101744186046511, 0.0, 0.5537790697674418, 0.436046511627907]"
,22992,"[0.3662145499383477, 0.001233045622688, 0.0, 0.6325524044389642]"
,23013,"[0.6843291995490417, 0.314543404735062, 0.0011273957158962, 0.0]"
,23029,"[0.0, 0.2831578947368421, 0.0, 0.716842105263158]"
,23040,"[0.7313131313131314, 0.0, 0.2686868686868687, 0.0]"
,23048,"[0.2442817932296432, 0.0, 0.7557182067703568, 0.0]"
,23055,"[0.7827272727272727, 0.0, 0.2172727272727272, 0.0]"
,23063,"[0.7873612297181896, 0.0008539709649871, 0.0, 0.2117847993168232]"
,23075,"[0.0060034305317324, 0.2152658662092624, 0.0, 0.7787307032590052]"
,23202,"[0.3282653766413269, 0.6717346233586731, 0.0, 0.0]"
,23525,"[0.0, 0.6454836131095124, 0.0, 0.3545163868904876]"
,23599,"[0.0, 0.0, 0.4183238636363636, 0.5816761363636364]"
,23604,"[0.4246371417938221, 0.0, 0.5753628582061779, 0.0]"
,23854,"[0.3956876456876457, 0.6043123543123543, 0.0, 0.0]"
,23948,"[0.0, 0.0006353240152477, 0.613722998729352, 0.3856416772554003]"
,24130,"[0.3605714285714286, 0.6394285714285715, 0.0, 0.0]"
,24410,"[0.5185185185185185, 0.0, 0.4807256235827664, 0.000755857898715]"
,24424,"[0.5318302387267905, 0.0, 0.0, 0.4681697612732095]"
,24469,"[0.411522633744856, 0.0, 0.0, 0.588477366255144]"
,24503,"[0.0, 0.6713409290096407, 0.0, 0.3286590709903593]"
