ID,Column_ID,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_Freq,>Zeta_P.2__P.2_EPI_ISL_717936_Brazil_2020-10-29_LNum
1,9,195,94
2,47,201,94
3,71,195,94
4,95,169,94
5,113,136,94
6,179,173,94
7,260,170,93
8,303,159,93
9,335,152,94
10,404,155,70
11,417,167,94
12,437,183,94
13,466,195,94
14,467,93,94
15,563,180,94
16,566,178,94
17,647,180,94
18,782,163,94
19,793,148,89
20,821,155,94
21,914,134,94
22,925,155,91
23,1001,157,94
24,1055,150,94
25,1102,183,93
26,1160,185,94
27,1207,191,94
28,1232,177,94
29,1323,169,94
30,1373,180,94
31,1418,178,94
32,1620,178,94
33,1665,137,94
34,1817,540,94
35,1923,611,94
36,1992,618,94
37,2129,679,94
38,2135,594,94
39,2141,562,94
40,2204,700,91
41,2426,641,94
42,2636,633,93
43,2771,673,91
44,2874,560,94
45,2975,678,94
46,3162,617,94
47,3191,607,94
48,3248,634,94
49,3471,100,94
50,3530,188,94
51,3586,184,94
52,3736,180,92
53,3915,163,86
54,4034,174,94
55,4191,158,94
56,4417,186,94
57,4627,171,94
58,4660,187,94
59,4918,177,87
60,5249,136,93
61,5315,196,94
62,5658,143,93
63,7205,325,94
64,7585,347,92
65,7874,313,93
66,8042,387,94
67,9763,1542,36
68,9869,1686,93
69,10401,50,1
70,10415,1240,94
71,10585,85,94
72,11894,38,90
73,12470,90,94
74,14075,923,94
75,16775,171,94
76,18320,706,94
77,21307,184,94
78,21332,140,93
79,21378,181,71
80,21499,148,73
81,21937,134,94
82,21963,155,91
83,22336,163,54
84,22550,230,86
85,22570,117,93
86,22571,200,57
87,22640,399,56
88,22675,508,62
89,23693,671,94
90,24674,463,94
91,24816,429,94
92,24817,435,94
93,25395,586,93
