barcode,positions,base_prop
,4184,"[0.7209302325581395, 0.0, 0.2558139534883721, 0.0232558139534883]"
,4321,"[0.0, 0.4333333333333333, 0.0, 0.5666666666666667]"
,15714,"[0.0, 0.2195121951219512, 0.0, 0.7804878048780488]"
,20055,"[0.3076923076923077, 0.0, 0.6730769230769231, 0.0192307692307692]"
,22813,"[0.0, 0.0, 0.3333333333333333, 0.6666666666666666]"
,22882,"[0.0263157894736842, 0.0, 0.7368421052631579, 0.2368421052631578]"
,23055,"[0.2264150943396226, 0.0, 0.7735849056603774, 0.0]"
,23854,"[0.765625, 0.203125, 0.03125, 0.0]"
,27384,"[0.0, 0.7384615384615385, 0.0, 0.2615384615384615]"
,28311,"[0.0, 0.2352941176470588, 0.0, 0.7647058823529411]"
,28795,"[0.3384615384615385, 0.0, 0.6615384615384615, 0.0]"
