barcode,positions,base_prop
,210,"[0.0, 0.0126582278481012, 0.5189873417721519, 0.4683544303797468]"
,670,"[0.0123456790123456, 0.0, 0.4567901234567901, 0.5308641975308642]"
,2653,"[0.4050632911392405, 0.0253164556962025, 0.0, 0.569620253164557]"
,2790,"[0.0, 0.64, 0.0, 0.36]"
,4181,"[0.0, 0.0, 0.3623188405797101, 0.6376811594202898]"
,4184,"[0.2794117647058823, 0.0294117647058823, 0.6764705882352942, 0.0147058823529411]"
,4321,"[0.0, 0.7833333333333333, 0.0, 0.2166666666666666]"
,6402,"[0.0, 0.5652173913043478, 0.0, 0.4347826086956521]"
,7124,"[0.0, 0.4814814814814814, 0.0, 0.5185185185185185]"
,7936,"[0.0, 0.0, 0.4, 0.6]"
,8986,"[0.0, 0.484375, 0.0, 0.515625]"
,9053,"[0.0307692307692307, 0.0, 0.4615384615384615, 0.5076923076923077]"
,9220,"[0.5, 0.0166666666666666, 0.4833333333333333, 0.0]"
,9344,"[0.0, 0.5079365079365079, 0.0158730158730158, 0.4761904761904761]"
,9424,"[0.6031746031746031, 0.0, 0.3968253968253968, 0.0]"
,9534,"[0.0, 0.5384615384615384, 0.0, 0.4615384615384615]"
,9866,"[0.0, 0.6071428571428571, 0.0, 0.3928571428571428]"
,10198,"[0.0, 0.4693877551020408, 0.0, 0.5306122448979592]"
,10447,"[0.4705882352941176, 0.0, 0.5098039215686274, 0.0196078431372549]"
,10449,"[0.5, 0.4807692307692308, 0.0, 0.0192307692307692]"
,10875,"[0.5094339622641509, 0.0, 0.4716981132075472, 0.0188679245283018]"
,11201,"[0.5294117647058824, 0.0196078431372549, 0.4509803921568627, 0.0]"
,11332,"[0.5714285714285714, 0.0, 0.4285714285714285, 0.0]"
,11355,"[0.0, 0.5882352941176471, 0.0, 0.4117647058823529]"
,12880,"[0.0425531914893617, 0.4468085106382978, 0.0212765957446808, 0.4893617021276595]"
,13712,"[0.5869565217391305, 0.0, 0.4130434782608695, 0.0]"
,15451,"[0.4318181818181818, 0.0, 0.5681818181818182, 0.0]"
,15714,"[0.0, 0.4888888888888889, 0.0222222222222222, 0.4888888888888889]"
,16466,"[0.0, 0.4893617021276595, 0.0, 0.5106382978723404]"
,17236,"[0.5384615384615384, 0.0, 0.4423076923076923, 0.0192307692307692]"
,17410,"[0.0, 0.52, 0.0, 0.48]"
,18163,"[0.4423076923076923, 0.0, 0.5384615384615384, 0.0192307692307692]"
,18395,"[0.0, 0.5087719298245614, 0.0, 0.4912280701754385]"
,19220,"[0.0, 0.5098039215686274, 0.0, 0.4901960784313725]"
,19955,"[0.0, 0.4642857142857143, 0.0, 0.5357142857142857]"
,20055,"[0.5185185185185185, 0.0555555555555555, 0.4074074074074074, 0.0185185185185185]"
,21575,"[0.0, 0.7096774193548387, 0.0, 0.2903225806451613]"
,21618,"[0.0277777777777777, 0.0138888888888888, 0.4027777777777778, 0.5555555555555556]"
,22200,"[0.0131578947368421, 0.0, 0.5394736842105263, 0.4473684210526316]"
,22205,"[0.0131578947368421, 0.0, 0.5657894736842105, 0.4210526315789473]"
,22786,"[0.7659574468085106, 0.2340425531914893, 0.0, 0.0]"
,22792,"[0.0, 0.75, 0.0, 0.25]"
,22813,"[0.0, 0.0, 0.6792452830188679, 0.320754716981132]"
,22882,"[0.0169491525423728, 0.0169491525423728, 0.3728813559322034, 0.5932203389830508]"
,22917,"[0.0, 0.015625, 0.515625, 0.46875]"
,22992,"[0.4545454545454545, 0.0151515151515151, 0.5303030303030303, 0.0]"
,23013,"[0.5806451612903226, 0.4193548387096774, 0.0, 0.0]"
,23040,"[0.5692307692307692, 0.0, 0.4307692307692308, 0.0]"
,23055,"[0.5757575757575758, 0.0, 0.4242424242424242, 0.0]"
,23063,"[0.5538461538461539, 0.0, 0.0153846153846153, 0.4307692307692308]"
,23075,"[0.0, 0.4461538461538462, 0.0, 0.5538461538461539]"
,23525,"[0.0, 0.4605263157894737, 0.0, 0.5394736842105263]"
,23599,"[0.0131578947368421, 0.0131578947368421, 0.5526315789473685, 0.4210526315789473]"
,23604,"[0.5512820512820513, 0.0256410256410256, 0.4230769230769231, 0.0]"
,23638,"[0.0128205128205128, 0.4358974358974359, 0.0128205128205128, 0.5384615384615384]"
,23854,"[0.5405405405405406, 0.4594594594594595, 0.0, 0.0]"
,23948,"[0.0256410256410256, 0.0128205128205128, 0.4230769230769231, 0.5384615384615384]"
,24410,"[0.3380281690140845, 0.0, 0.6619718309859155, 0.0]"
,24424,"[0.4050632911392405, 0.0126582278481012, 0.0, 0.5822784810126582]"
,24469,"[0.589041095890411, 0.0, 0.0136986301369863, 0.3972602739726027]"
,25000,"[0.0, 0.4210526315789473, 0.0, 0.5789473684210527]"
,25062,"[0.0, 0.0253164556962025, 0.5949367088607594, 0.379746835443038]"
,25469,"[0.0, 0.6338028169014085, 0.0, 0.3661971830985915]"
,25584,"[0.0142857142857142, 0.4285714285714285, 0.0, 0.5571428571428572]"
,26060,"[0.0135135135135135, 0.3783783783783784, 0.0675675675675675, 0.5405405405405406]"
,26270,"[0.0277777777777777, 0.375, 0.0277777777777777, 0.5694444444444444]"
,26577,"[0.0133333333333333, 0.4, 0.5866666666666667, 0.0]"
,26709,"[0.5733333333333334, 0.0133333333333333, 0.4133333333333333, 0.0]"
,26767,"[0.0, 0.3561643835616438, 0.0, 0.6438356164383562]"
,26858,"[0.0, 0.4027777777777778, 0.0, 0.5972222222222222]"
,27259,"[0.4210526315789473, 0.5789473684210527, 0.0, 0.0]"
,27382,"[0.0, 0.5277777777777778, 0.4722222222222222, 0.0]"
,27383,"[0.4459459459459459, 0.054054054054054, 0.0, 0.5]"
,27384,"[0.0, 0.4875, 0.0, 0.5125]"
,27638,"[0.0, 0.4342105263157895, 0.0263157894736842, 0.5394736842105263]"
,27752,"[0.0, 0.6081081081081081, 0.0135135135135135, 0.3783783783783784]"
,27807,"[0.0, 0.4, 0.0142857142857142, 0.5857142857142857]"
,27874,"[0.0, 0.6, 0.0, 0.4]"
,28311,"[0.0, 0.4931506849315068, 0.0, 0.5068493150684932]"
,28461,"[0.6133333333333333, 0.0, 0.3866666666666666, 0.0]"
,28658,"[0.4166666666666667, 0.0, 0.5833333333333334, 0.0]"
,28795,"[0.6268656716417911, 0.0, 0.373134328358209, 0.0]"
,28881,"[0.582089552238806, 0.0149253731343283, 0.0597014925373134, 0.3432835820895522]"
,28882,"[0.5972222222222222, 0.0, 0.3611111111111111, 0.0416666666666666]"
,28883,"[0.0422535211267605, 0.5492957746478874, 0.3943661971830985, 0.0140845070422535]"
,28916,"[0.0428571428571428, 0.0, 0.5571428571428572, 0.4]"
,29402,"[0.0, 0.0138888888888888, 0.5833333333333334, 0.4027777777777778]"
,29510,"[0.4366197183098591, 0.5070422535211268, 0.0140845070422535, 0.0422535211267605]"
