ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,37,94
2,47,34,94
3,71,29,94
4,95,34,94
5,113,28,94
6,179,31,94
7,260,36,93
8,303,36,93
9,335,28,94
10,404,29,25
11,417,23,94
12,437,41,94
13,466,28,94
14,467,27,94
15,563,32,94
16,566,30,94
17,647,32,94
18,782,32,94
19,793,27,89
20,821,24,94
21,914,34,94
22,925,38,91
23,1001,37,94
24,1055,33,94
25,1102,35,93
26,1160,37,94
27,1207,35,94
28,1232,28,94
29,1323,35,94
30,1373,24,94
31,1418,36,94
32,1620,39,94
33,1665,25,94
34,1817,40,94
35,1923,29,94
36,1992,37,94
37,2129,39,94
38,2135,30,94
39,2141,27,94
40,2204,34,91
41,2426,44,94
42,2636,47,93
43,2771,36,91
44,2874,34,94
45,2975,33,94
46,3162,41,94
47,3191,37,94
48,3248,35,94
49,3471,37,94
50,3530,33,94
51,3586,36,94
52,3736,36,92
53,3915,36,86
54,4034,27,94
55,4191,3,94
56,4417,0,94
57,4627,37,94
58,4660,39,94
59,4918,37,87
60,5249,40,93
61,5315,43,94
62,5658,32,93
63,7205,40,94
64,7585,40,92
65,7874,44,93
66,8042,49,94
67,9763,47,59
68,9869,49,93
69,10401,43,94
70,10415,54,94
71,10585,41,94
72,11894,49,90
73,12470,37,94
74,14075,46,94
75,16775,37,94
76,18320,40,94
77,21307,32,94
78,21332,30,93
79,21378,40,24
80,21499,33,73
81,21937,32,94
82,21963,32,91
83,22336,0,41
84,22550,40,9
85,22570,56,93
86,22571,52,38
87,22640,34,39
88,22675,47,62
89,23693,34,94
90,24674,31,94
91,24816,45,94
92,24817,46,94
93,25395,39,93
