ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,28,94
2,47,38,94
3,71,44,94
4,95,29,94
5,113,36,94
6,179,27,94
7,260,35,93
8,303,35,93
9,335,35,94
10,404,17,70
11,417,35,94
12,437,35,94
13,466,36,94
14,467,35,94
15,563,36,94
16,566,32,94
17,647,33,94
18,782,37,94
19,793,30,89
20,821,27,94
21,914,38,94
22,925,45,91
23,1001,41,94
24,1055,24,94
25,1102,43,93
26,1160,40,94
27,1207,28,94
28,1232,30,94
29,1323,34,94
30,1373,36,94
31,1418,41,94
32,1620,36,94
33,1665,38,94
34,1817,44,94
35,1923,42,94
36,1992,43,94
37,2129,35,94
38,2135,36,94
39,2141,34,94
40,2204,24,91
41,2426,47,94
42,2636,40,93
43,2771,30,91
44,2874,29,94
45,2975,46,94
46,3162,40,94
47,3191,40,94
48,3248,46,94
49,3471,38,94
50,3530,36,94
51,3586,43,94
52,3736,30,92
53,3915,25,9
54,4034,24,94
55,4191,24,94
56,4417,21,94
57,4627,43,94
58,4660,57,94
59,4918,34,87
60,5249,49,93
61,5315,45,94
62,5658,49,93
63,7205,45,94
64,7585,42,92
65,7874,42,93
66,8042,39,94
67,9763,46,59
68,9869,44,93
69,10401,55,94
70,10415,52,94
71,10585,50,94
72,11894,36,90
73,12470,39,94
74,14075,45,94
75,16775,35,94
76,18320,55,94
77,21307,45,94
78,21332,44,93
79,21378,14,71
80,21499,46,73
81,21937,26,94
82,21963,19,91
83,22336,13,54
84,22550,15,86
85,22570,53,93
86,22571,23,57
87,22640,14,56
88,22675,20,31
89,23693,46,94
90,24674,35,94
91,24816,46,94
92,24817,43,94
93,25395,28,93
