ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,30,94
2,47,31,94
3,71,27,94
4,95,27,94
5,113,24,94
6,179,26,94
7,260,35,93
8,303,31,93
9,335,28,94
10,404,0,70
11,417,32,94
12,437,32,94
13,466,35,94
14,467,31,94
15,563,33,94
16,566,28,94
17,647,28,94
18,782,34,94
19,793,31,89
20,821,22,94
21,914,31,94
22,925,45,91
23,1001,36,94
24,1055,26,94
25,1102,35,93
26,1160,39,94
27,1207,24,94
28,1232,19,94
29,1323,26,94
30,1373,30,94
31,1418,37,94
32,1620,32,94
33,1665,32,94
34,1817,35,94
35,1923,28,94
36,1992,34,94
37,2129,28,94
38,2135,33,94
39,2141,32,94
40,2204,26,91
41,2426,34,94
42,2636,32,93
43,2771,31,91
44,2874,30,94
45,2975,35,94
46,3162,32,94
47,3191,37,94
48,3248,36,94
49,3471,29,94
50,3530,26,94
51,3586,34,94
52,3736,33,92
53,3915,0,9
54,4034,24,94
55,4191,0,94
56,4417,0,94
57,4627,27,94
58,4660,37,94
59,4918,38,87
60,5249,36,93
61,5315,35,94
62,5658,34,93
63,7205,46,94
64,7585,27,92
65,7874,27,93
66,8042,40,94
67,9763,38,59
68,9869,46,93
69,10401,39,94
70,10415,32,94
71,10585,38,94
72,11894,34,90
73,12470,35,94
74,14075,52,94
75,16775,32,94
76,18320,36,94
77,21307,25,94
78,21332,36,93
79,21378,0,71
80,21499,40,73
81,21937,26,94
82,21963,22,91
83,22336,3,54
84,22550,3,86
85,22570,41,93
86,22571,3,57
87,22640,0,56
88,22675,4,31
89,23693,38,94
90,24674,31,94
91,24816,35,94
92,24817,37,94
93,25395,29,93
