ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,39,94
2,47,39,94
3,71,34,94
4,95,36,94
5,113,37,94
6,179,29,94
7,260,30,93
8,303,34,93
9,335,32,94
10,404,43,25
11,417,25,94
12,437,34,94
13,466,28,94
14,467,31,94
15,563,40,94
16,566,36,94
17,647,48,94
18,782,27,94
19,793,24,89
20,821,28,94
21,914,37,94
22,925,43,91
23,1001,42,94
24,1055,32,94
25,1102,31,93
26,1160,32,94
27,1207,39,94
28,1232,40,94
29,1323,41,94
30,1373,31,94
31,1418,37,94
32,1620,45,94
33,1665,29,94
34,1817,44,94
35,1923,37,94
36,1992,39,94
37,2129,43,94
38,2135,41,94
39,2141,38,94
40,2204,38,91
41,2426,44,94
42,2636,40,93
43,2771,39,91
44,2874,32,94
45,2975,42,94
46,3162,52,94
47,3191,44,94
48,3248,36,94
49,3471,48,94
50,3530,34,94
51,3586,41,94
52,3736,31,92
53,3915,47,86
54,4034,41,94
55,4191,0,94
56,4417,0,94
57,4627,41,94
58,4660,38,94
59,4918,42,87
60,5249,51,93
61,5315,40,94
62,5658,50,93
63,7205,56,94
64,7585,52,92
65,7874,42,93
66,8042,55,94
67,9763,51,59
68,9869,56,93
69,10401,60,94
70,10415,54,94
71,10585,46,94
72,11894,56,90
73,12470,50,94
74,14075,58,94
75,16775,53,94
76,18320,40,94
77,21307,37,94
78,21332,40,93
79,21378,40,24
80,21499,34,73
81,21937,33,94
82,21963,30,91
83,22336,0,41
84,22550,47,9
85,22570,42,93
86,22571,41,38
87,22640,21,39
88,22675,43,62
89,23693,25,94
90,24674,46,94
91,24816,41,94
92,24817,40,94
93,25395,44,93
