ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,44075,94,44075,94
2,47,16249,94,16249,94
3,71,14615,94,14615,94
4,95,16427,94,16427,94
5,113,10816,94,10816,94
6,179,20810,94,20810,94
7,260,0,93
8,303,19702,93,19702,93
9,335,29880,94,29880,94
10,404,13717,70,13717,70
11,417,31675,94,31675,94
12,437,31554,94,31554,94
13,466,27182,94,27182,94
14,467,27171,94,27171,94
15,563,12542,94,12542,94
16,566,12569,94,12569,94
17,647,4047,94,4047,94
18,782,2901,94,2901,94
19,793,2954,89,2954,89
20,821,6566,94,6566,94
21,914,6272,94,6272,94
22,925,4486,91,4486,91
23,1001,3775,94,3775,94
24,1055,5376,94,5376,94
25,1102,2106,93,2106,93
26,1160,13583,94,13583,94
27,1207,27433,94,27433,94
28,1232,27710,94,27710,94
29,1323,19582,94,19582,94
30,1373,3660,94,3660,94
31,1418,1195,94,1195,94
32,1620,4760,94,4760,94
33,1665,4015,94,4015,94
34,1817,8664,94,8664,94
35,1923,5050,94,5050,94
36,1992,7650,94,7650,94
37,2129,5642,94,5642,94
38,2135,5505,94,5505,94
39,2141,5472,94,5472,94
40,2204,2999,91,2999,91
41,2426,8105,94,8105,94
42,2636,6621,93,6621,93
43,2771,7786,91,7786,91
44,2874,5995,94,5995,94
45,2975,3789,94,3789,94
46,3162,751,94,751,94
47,3191,2990,94,2990,94
48,3248,0,94
49,3471,1748,94,1748,94
50,3530,1987,94,1987,94
51,3586,786,94,786,94
52,3736,1002,92,1002,92
53,3915,5629,9,5629,9
54,4034,4248,94,4248,94
55,4191,6124,94,6124,94
56,4417,3973,94,3973,94
57,4627,2060,94,2060,94
58,4660,5867,94,5867,94
59,4918,5883,87,5883,87
60,5249,7715,93,7715,93
61,5315,7124,94,7124,94
62,5658,0,93
63,7205,30640,94,30640,94
64,7585,7746,92,7746,92
65,7874,1934,93,1934,93
66,8042,4327,94,4327,94
67,9763,23154,59,23154,59
68,9869,12451,93,12451,93
69,10401,3441,94,3441,94
70,10415,8837,94,8837,94
71,10585,11157,94,11157,94
72,11894,5880,90,5880,90
73,12470,5313,94,5313,94
74,14075,3705,94,3705,94
75,16775,20168,94,20168,94
76,18320,5049,94,5049,94
77,21307,310,94,310,94
78,21332,1209,93,1209,93
79,21378,1092,71,1092,71
80,21499,9025,73,9025,73
81,21937,2479,94,2479,94
82,21963,2483,91,2483,91
83,22336,259,54,259,54
84,22550,4612,86,4612,86
85,22570,0,93
86,22571,0,57
87,22640,3621,56,3621,56
88,22675,3887,31,3887,31
89,23693,0,94
90,24674,901,94,901,94
91,24816,4442,94,4442,94
92,24817,4449,94,4449,94
93,25395,26483,93,26483,93
