ID,Column_ID,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,35729,94
2,47,4723,94
3,71,4464,94
4,95,5650,94
5,113,3238,94
6,179,12153,94
7,260,18892,2
8,303,12736,93
9,335,17913,94
10,404,7695,70
11,417,23285,94
12,437,23517,94
13,466,20222,94
14,467,20175,94
15,563,7768,94
16,566,7795,94
17,647,1872,94
18,782,258,94
19,793,259,89
20,821,1898,94
21,914,3041,94
22,925,2513,91
23,1001,5583,94
24,1055,6376,94
25,1102,1127,93
26,1160,17812,94
27,1207,23162,94
28,1232,23299,94
29,1323,8552,94
30,1373,1872,94
31,1418,769,94
32,1620,4882,94
33,1665,3332,94
34,1817,6968,94
35,1923,1461,94
36,1992,2816,94
37,2129,4844,94
38,2135,4647,94
39,2141,4640,94
40,2204,1439,91
41,2426,2527,94
42,2636,5392,93
43,2771,4224,91
44,2874,3631,94
45,2975,2833,94
46,3162,627,94
47,3191,2616,94
48,3248,2280,94
49,3471,493,94
50,3530,546,94
51,3586,264,94
52,3736,259,92
53,3915,3668,9
54,4034,930,94
55,4191,3065,94
56,4417,1742,94
57,4627,787,94
58,4660,3760,94
59,4918,3105,87
60,5249,5448,93
61,5315,6070,94
62,5658,3810,93
63,7205,20945,94
64,7585,3574,92
65,7874,715,93
66,8042,2359,94
67,9763,7788,59
68,9869,2510,93
69,10401,537,94
70,10415,5370,94
71,10585,4590,94
72,11894,2170,90
73,12470,3511,94
74,14075,1310,94
75,16775,18979,94
76,18320,2260,94
77,21307,493,94
78,21332,1439,93
79,21378,1102,71
80,21499,8544,73
81,21937,589,94
82,21963,594,91
83,22336,0,54
84,22550,4635,86
85,22570,1600,93
86,22571,1600,57
87,22640,2431,56
88,22675,1755,31
89,23693,0,94
90,24674,1104,94
91,24816,2880,94
92,24817,2882,94
93,25395,16279,93
