ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,37,94
2,47,44,94
3,71,37,94
4,95,35,94
5,113,34,94
6,179,36,94
7,260,41,93
8,303,33,93
9,335,32,94
10,404,46,25
11,417,37,94
12,437,36,94
13,466,31,94
14,467,30,94
15,563,40,94
16,566,35,94
17,647,42,94
18,782,28,94
19,793,32,89
20,821,24,94
21,914,32,94
22,925,37,91
23,1001,36,94
24,1055,35,94
25,1102,31,93
26,1160,42,94
27,1207,40,94
28,1232,35,94
29,1323,37,94
30,1373,25,94
31,1418,37,94
32,1620,35,94
33,1665,25,94
34,1817,49,94
35,1923,40,94
36,1992,44,94
37,2129,41,94
38,2135,30,94
39,2141,27,94
40,2204,36,91
41,2426,48,94
42,2636,37,93
43,2771,39,91
44,2874,37,94
45,2975,38,94
46,3162,49,94
47,3191,41,94
48,3248,37,94
49,3471,41,94
50,3530,38,94
51,3586,37,94
52,3736,38,92
53,3915,34,86
54,4034,38,94
55,4191,0,94
56,4417,0,94
57,4627,38,94
58,4660,41,94
59,4918,40,87
60,5249,50,93
61,5315,33,94
62,5658,36,93
63,7205,36,94
64,7585,43,92
65,7874,42,93
66,8042,48,94
67,9763,38,59
68,9869,51,93
69,10401,44,94
70,10415,46,94
71,10585,41,94
72,11894,45,90
73,12470,49,94
74,14075,35,94
75,16775,42,94
76,18320,42,94
77,21307,46,94
78,21332,40,93
79,21378,47,24
80,21499,44,73
81,21937,42,94
82,21963,35,91
83,22336,0,41
84,22550,55,9
85,22570,59,93
86,22571,57,38
87,22640,32,39
88,22675,42,62
89,23693,35,94
90,24674,45,94
91,24816,42,94
92,24817,42,94
93,25395,46,93
