Amplicon	AY.2	BA.2.23
9	0.1428571428571429	0.8571428571428571
14	0.050000000000000044	0.95
31	0.05128205128205121	0.9487179487179488
32	0.05128205128205121	0.9487179487179488
33	0.0	1.0
34	0.0	1.0
35	0.0	1.0
52	0.1071428571428571	0.8928571428571429
66	0.30000000000000004	0.7
73	0.0	1.0
74	0.0	1.0
75	0.08333333333333337	0.9166666666666666
76	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.10526315789473684	0.8947368421052632
81	0.11111111111111116	0.8888888888888888
82	0.11111111111111116	0.8888888888888888
87	0.04166666666666663	0.9583333333333334
88	0.04347826086956519	0.9565217391304348
89	0.0	1.0
91	0.04166666666666663	0.9583333333333334
94	0.10256410256410253	0.8974358974358975
95	0.0	1.0
96	0.0	1.0
97	0.0	1.0
99	0.18181818181818177	0.8181818181818182
