Amplicon	AY.2	BA.2.23
9	0.17142857142857137	0.8285714285714286
14	0.1282051282051282	0.8717948717948718
31	0.13157894736842102	0.868421052631579
32	0.13157894736842102	0.868421052631579
33	0.0	1.0
34	0.0714285714285714	0.9285714285714286
35	0.0714285714285714	0.9285714285714286
52	0.28125	0.71875
66	0.29508196721311475	0.7049180327868853
73	0.0	1.0
74	0.0	1.0
75	0.1428571428571429	0.8571428571428571
76	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.1282051282051282	0.8717948717948718
81	0.14814814814814814	0.8518518518518519
82	0.14814814814814814	0.8518518518518519
87	0.05555555555555558	0.9444444444444444
88	0.13043478260869568	0.8695652173913043
89	0.0	1.0
91	0.15555555555555556	0.8444444444444444
94	0.16129032258064513	0.8387096774193549
95	0.0	1.0
96	0.0	1.0
97	0.0	1.0
99	0.17307692307692313	0.8269230769230769
