Amplicon	AY.2	BA.2.23
9	0.4571428571428572	0.5428571428571428
12	0.5	0.5
14	0.29032258064516125	0.7096774193548387
17	0.28	0.72
31	0.49056603773584906	0.5094339622641509
32	0.49056603773584906	0.5094339622641509
33	0.375	0.625
34	0.48	0.52
35	0.48	0.52
38	0.375	0.625
52	0.35	0.65
54	0.52	0.48
55	0.52	0.48
61	0.4761904761904761	0.523809523809524
66	0.5263157894736843	0.4736842105263157
73	0.3888888888888889	0.6111111111111112
74	0.3888888888888889	0.6111111111111112
75	0.5555555555555556	0.4444444444444444
76	0.56	0.43999999999999995
78	0.0	1.0
79	0.0	1.0
80	0.44999999999999996	0.55
81	0.5	0.5
82	0.5925925925925926	0.40740740740740744
85	0.5	0.5
87	0.5217391304347826	0.4782608695652174
88	0.47058823529411764	0.5294117647058824
89	0.4285714285714285	0.5714285714285715
91	0.5098039215686275	0.4901960784313725
92	0.5094339622641509	0.49056603773584906
93	0.4509803921568627	0.5490196078431373
94	0.42105263157894735	0.5789473684210527
95	0.4074074074074074	0.5925925925925926
98	0.3666666666666666	0.6333333333333334
99	0.48484848484848486	0.5151515151515151
