ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,37,94
2,47,40,94
3,71,32,94
4,95,36,94
5,113,36,94
6,179,36,94
7,260,33,93
8,303,39,93
9,335,29,94
10,404,34,25
11,417,28,94
12,437,35,94
13,466,27,94
14,467,27,94
15,563,33,94
16,566,29,94
17,647,38,94
18,782,24,94
19,793,27,89
20,821,21,94
21,914,39,94
22,925,42,91
23,1001,38,94
24,1055,30,94
25,1102,26,93
26,1160,38,94
27,1207,37,94
28,1232,42,94
29,1323,30,94
30,1373,29,94
31,1418,32,94
32,1620,36,94
33,1665,30,94
34,1817,37,94
35,1923,38,94
36,1992,36,94
37,2129,34,94
38,2135,29,94
39,2141,27,94
40,2204,35,91
41,2426,33,94
42,2636,51,93
43,2771,38,91
44,2874,32,94
45,2975,42,94
46,3162,48,94
47,3191,40,94
48,3248,37,94
49,3471,43,94
50,3530,37,94
51,3586,28,94
52,3736,29,92
53,3915,38,86
54,4034,42,94
55,4191,0,94
56,4417,4,94
57,4627,42,94
58,4660,36,94
59,4918,38,87
60,5249,43,93
61,5315,38,94
62,5658,48,93
63,7205,43,94
64,7585,47,92
65,7874,41,93
66,8042,45,94
67,9763,39,59
68,9869,46,93
69,10401,39,94
70,10415,39,94
71,10585,33,94
72,11894,50,90
73,12470,37,94
74,14075,45,94
75,16775,49,94
76,18320,36,94
77,21307,44,94
78,21332,45,93
79,21378,48,24
80,21499,45,73
81,21937,41,94
82,21963,30,91
83,22336,0,41
84,22550,42,9
85,22570,49,93
86,22571,47,38
87,22640,31,39
88,22675,45,62
89,23693,33,94
90,24674,48,94
91,24816,43,94
92,24817,46,94
93,25395,37,93
