ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,32,94
2,47,38,94
3,71,41,94
4,95,24,94
5,113,35,94
6,179,33,94
7,260,44,93
8,303,48,93
9,335,31,94
10,404,32,25
11,417,43,94
12,437,32,94
13,466,47,94
14,467,45,94
15,563,42,94
16,566,39,94
17,647,48,94
18,782,46,94
19,793,41,89
20,821,31,94
21,914,50,94
22,925,49,91
23,1001,49,94
24,1055,40,94
25,1102,44,93
26,1160,48,94
27,1207,35,94
28,1232,30,94
29,1323,37,94
30,1373,44,94
31,1418,50,94
32,1620,37,94
33,1665,31,94
34,1817,43,94
35,1923,35,94
36,1992,42,94
37,2129,36,94
38,2135,33,94
39,2141,32,94
40,2204,19,91
41,2426,51,94
42,2636,32,93
43,2771,31,91
44,2874,29,94
45,2975,42,94
46,3162,54,94
47,3191,38,94
48,3248,40,94
49,3471,47,94
50,3530,39,94
51,3586,37,94
52,3736,33,92
53,3915,28,86
54,4034,32,94
55,4191,0,94
56,4417,0,94
57,4627,42,94
58,4660,51,94
59,4918,37,87
60,5249,44,93
61,5315,30,94
62,5658,44,93
63,7205,50,94
64,7585,49,92
65,7874,49,93
66,8042,49,94
67,9763,53,59
68,9869,46,93
69,10401,56,94
70,10415,57,94
71,10585,46,94
72,11894,36,90
73,12470,42,94
74,14075,57,94
75,16775,46,94
76,18320,54,94
77,21307,33,94
78,21332,38,93
79,21378,41,24
80,21499,40,73
81,21937,40,94
82,21963,28,91
83,22336,0,41
84,22550,41,9
85,22570,43,93
86,22571,42,38
87,22640,31,39
88,22675,48,62
89,23693,45,94
90,24674,42,94
91,24816,45,94
92,24817,47,94
93,25395,35,93
