ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,44,94
2,47,45,94
3,71,45,94
4,95,33,94
5,113,45,94
6,179,32,94
7,260,45,93
8,303,41,93
9,335,37,94
10,404,15,70
11,417,31,94
12,437,42,94
13,466,37,94
14,467,35,94
15,563,47,94
16,566,43,94
17,647,41,94
18,782,35,94
19,793,34,89
20,821,36,94
21,914,36,94
22,925,50,91
23,1001,39,94
24,1055,27,94
25,1102,34,93
26,1160,47,94
27,1207,39,94
28,1232,43,94
29,1323,41,94
30,1373,36,94
31,1418,33,94
32,1620,38,94
33,1665,31,94
34,1817,45,94
35,1923,45,94
36,1992,47,94
37,2129,44,94
38,2135,44,94
39,2141,42,94
40,2204,29,91
41,2426,47,94
42,2636,48,93
43,2771,44,91
44,2874,34,94
45,2975,45,94
46,3162,46,94
47,3191,47,94
48,3248,35,94
49,3471,49,94
50,3530,41,94
51,3586,43,94
52,3736,36,92
53,3915,14,9
54,4034,48,94
55,4191,14,94
56,4417,16,94
57,4627,31,94
58,4660,46,94
59,4918,40,87
60,5249,43,93
61,5315,42,94
62,5658,44,93
63,7205,37,94
64,7585,34,92
65,7874,28,93
66,8042,46,94
67,9763,36,59
68,9869,41,93
69,10401,42,94
70,10415,42,94
71,10585,24,94
72,11894,48,90
73,12470,53,94
74,14075,43,94
75,16775,49,94
76,18320,43,94
77,21307,35,94
78,21332,40,93
79,21378,20,71
80,21499,35,73
81,21937,21,94
82,21963,17,91
83,22336,18,54
84,22550,24,86
85,22570,49,93
86,22571,23,57
87,22640,8,56
88,22675,23,31
89,23693,37,94
90,24674,46,94
91,24816,47,94
92,24817,51,94
93,25395,53,93
