barcode,positions,base_prop
,5437,"[0.0, 0.0, 0.2857142857142857, 0.7142857142857143]"
,7124,"[0.0, 0.3, 0.0, 0.7]"
,11332,"[0.2444444444444444, 0.0, 0.7555555555555555, 0.0]"
,14408,"[0.0, 0.2592592592592592, 0.0, 0.7407407407407407]"
,15451,"[0.7894736842105263, 0.0, 0.2105263157894736, 0.0]"
,21618,"[0.0, 0.4444444444444444, 0.5555555555555556, 0.0]"
,22995,"[0.5151515151515151, 0.4848484848484848, 0.0, 0.0]"
,23604,"[0.0, 0.2934782608695652, 0.7065217391304348, 0.0]"
,26333,"[0.0, 0.723404255319149, 0.0, 0.2765957446808511]"
,27638,"[0.0, 0.6857142857142857, 0.0, 0.3142857142857143]"
,27752,"[0.0, 0.4418604651162791, 0.0, 0.5581395348837209]"
,28461,"[0.2741935483870967, 0.0, 0.7258064516129032, 0.0]"
