barcode,positions,base_prop
,5931,"[0.7741935483870968, 0.0, 0.2258064516129032, 0.0]"
,6402,"[0.0, 0.2608695652173913, 0.0, 0.7391304347826086]"
,11201,"[0.2608695652173913, 0.0, 0.7391304347826086, 0.0]"
,15451,"[0.717391304347826, 0.0, 0.2826086956521739, 0.0]"
,17746,"[0.0, 0.282051282051282, 0.0, 0.717948717948718]"
,21618,"[0.0, 0.25, 0.0, 0.75]"
,22599,"[0.0, 0.4230769230769231, 0.5769230769230769, 0.0]"
,23604,"[0.7666666666666667, 0.2333333333333333, 0.0, 0.0]"
,24424,"[0.2758620689655172, 0.0, 0.0344827586206896, 0.6896551724137931]"
,27435,"[0.0, 0.3333333333333333, 0.0, 0.6666666666666666]"
,27752,"[0.0, 0.3478260869565217, 0.0, 0.6521739130434783]"
,28461,"[0.2714285714285714, 0.0, 0.7285714285714285, 0.0]"
