barcode,positions,base_prop
,5437,"[0.0, 0.0, 0.235576923076923, 0.7644230769230769]"
,9693,"[0.0, 0.7272727272727273, 0.0, 0.2727272727272727]"
,10243,"[0.0, 0.5267175572519084, 0.0, 0.4732824427480916]"
,14408,"[0.0, 0.238095238095238, 0.0, 0.7619047619047619]"
,14874,"[0.0, 0.0, 0.4656862745098039, 0.5343137254901961]"
,17200,"[0.0, 0.3113207547169811, 0.0, 0.6886792452830188]"
,21618,"[0.0, 0.2054794520547945, 0.0, 0.7945205479452054]"
,21846,"[0.0, 0.4556962025316455, 0.0, 0.5443037974683544]"
,22599,"[0.0, 0.7023809523809523, 0.2976190476190476, 0.0]"
,22963,"[0.0, 0.3137254901960784, 0.0, 0.6862745098039216]"
,23055,"[0.2121212121212121, 0.0151515151515151, 0.7727272727272727, 0.0]"
,23063,"[0.2307692307692307, 0.0, 0.0, 0.7692307692307693]"
,23604,"[0.6929133858267716, 0.3070866141732283, 0.0, 0.0]"
,23854,"[0.6923076923076923, 0.3076923076923077, 0.0, 0.0]"
,26526,"[0.0, 0.0, 0.3644859813084112, 0.6355140186915887]"
,27459,"[0.0, 0.0, 0.2359550561797752, 0.7640449438202247]"
,27752,"[0.0, 0.3823529411764705, 0.0, 0.6176470588235294]"
,28461,"[0.2204176334106728, 0.0023201856148491, 0.7749419953596288, 0.0023201856148491]"
,29757,"[0.0, 0.0, 0.5522388059701493, 0.4477611940298507]"
