barcode,positions,base_prop
,5437,"[0.0, 0.0, 0.3492063492063492, 0.6507936507936508]"
,7124,"[0.0, 0.25, 0.0, 0.75]"
,11332,"[0.3529411764705882, 0.0, 0.6470588235294118, 0.0]"
,14408,"[0.0, 0.2692307692307692, 0.0, 0.7307692307692307]"
,15451,"[0.7741935483870968, 0.0, 0.2258064516129032, 0.0]"
,21618,"[0.0, 0.2777777777777778, 0.7222222222222222, 0.0]"
,25614,"[0.0, 0.2376237623762376, 0.0, 0.7623762376237624]"
,27638,"[0.0, 0.7419354838709677, 0.0, 0.2580645161290322]"
,27752,"[0.0, 0.2972972972972973, 0.0, 0.7027027027027027]"
,28086,"[0.0, 0.0, 0.2957746478873239, 0.704225352112676]"
,28461,"[0.2463768115942029, 0.0, 0.7536231884057971, 0.0]"
