ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,35,94
2,47,37,94
3,71,28,94
4,95,29,94
5,113,28,94
6,179,36,94
7,260,29,93
8,303,26,93
9,335,18,94
10,404,21,25
11,417,24,94
12,437,28,94
13,466,21,94
14,467,22,94
15,563,35,94
16,566,36,94
17,647,33,94
18,782,27,94
19,793,26,89
20,821,26,94
21,914,27,94
22,925,32,91
23,1001,26,94
24,1055,29,94
25,1102,29,93
26,1160,29,94
27,1207,28,94
28,1232,25,94
29,1323,24,94
30,1373,25,94
31,1418,24,94
32,1620,25,94
33,1665,16,94
34,1817,32,94
35,1923,28,94
36,1992,28,94
37,2129,32,94
38,2135,28,94
39,2141,23,94
40,2204,21,91
41,2426,34,94
42,2636,30,93
43,2771,25,91
44,2874,28,94
45,2975,33,94
46,3162,36,94
47,3191,33,94
48,3248,32,94
49,3471,31,94
50,3530,34,94
51,3586,33,94
52,3736,30,92
53,3915,27,86
54,4034,27,94
55,4191,8,94
56,4417,9,94
57,4627,33,94
58,4660,28,94
59,4918,33,87
60,5249,35,93
61,5315,36,94
62,5658,36,93
63,7205,33,94
64,7585,29,92
65,7874,31,93
66,8042,37,94
67,9763,36,59
68,9869,39,93
69,10401,26,94
70,10415,33,94
71,10585,26,94
72,11894,37,90
73,12470,33,94
74,14075,46,94
75,16775,43,94
76,18320,34,94
77,21307,42,94
78,21332,39,93
79,21378,32,24
80,21499,46,73
81,21937,37,94
82,21963,29,91
83,22336,0,41
84,22550,36,9
85,22570,51,93
86,22571,36,38
87,22640,31,39
88,22675,38,62
89,23693,31,94
90,24674,39,94
91,24816,35,94
92,24817,37,94
93,25395,34,93
