ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,37,94
2,47,38,94
3,71,29,94
4,95,25,94
5,113,30,94
6,179,30,94
7,260,35,93
8,303,28,93
9,335,41,94
10,404,3,70
11,417,34,94
12,437,37,94
13,466,34,94
14,467,32,94
15,563,36,94
16,566,35,94
17,647,28,94
18,782,27,94
19,793,28,89
20,821,22,94
21,914,39,94
22,925,38,91
23,1001,36,94
24,1055,36,94
25,1102,34,93
26,1160,28,94
27,1207,27,94
28,1232,26,94
29,1323,29,94
30,1373,31,94
31,1418,31,94
32,1620,24,94
33,1665,30,94
34,1817,26,94
35,1923,31,94
36,1992,35,94
37,2129,29,94
38,2135,25,94
39,2141,30,94
40,2204,24,91
41,2426,35,94
42,2636,37,93
43,2771,27,91
44,2874,36,94
45,2975,37,94
46,3162,34,94
47,3191,38,94
48,3248,35,94
49,3471,37,94
50,3530,34,94
51,3586,31,94
52,3736,37,92
53,3915,0,9
54,4034,26,94
55,4191,4,94
56,4417,4,94
57,4627,34,94
58,4660,38,94
59,4918,31,87
60,5249,33,93
61,5315,39,94
62,5658,41,93
63,7205,42,94
64,7585,42,92
65,7874,45,93
66,8042,42,94
67,9763,42,59
68,9869,37,93
69,10401,41,94
70,10415,41,94
71,10585,38,94
72,11894,39,90
73,12470,46,94
74,14075,57,94
75,16775,36,94
76,18320,40,94
77,21307,43,94
78,21332,36,93
79,21378,5,71
80,21499,40,73
81,21937,41,94
82,21963,36,91
83,22336,3,54
84,22550,5,86
85,22570,53,93
86,22571,7,57
87,22640,7,56
88,22675,6,31
89,23693,48,94
90,24674,43,94
91,24816,55,94
92,24817,55,94
93,25395,32,93
