barcode,positions,base_prop
,670,"[0.0, 0.0263157894736842, 0.7105263157894737, 0.2631578947368421]"
,4321,"[0.0147058823529411, 0.3235294117647059, 0.0, 0.6617647058823529]"
,5736,"[0.0, 0.7192982456140351, 0.0, 0.2807017543859649]"
,9424,"[0.2027027027027027, 0.0, 0.7972972972972973, 0.0]"
,9866,"[0.015625, 0.234375, 0.03125, 0.71875]"
,13476,"[0.0338983050847457, 0.6779661016949152, 0.0508474576271186, 0.2372881355932203]"
,15714,"[0.0, 0.2244897959183673, 0.0, 0.7755102040816326]"
,18299,"[0.0, 0.5409836065573771, 0.0, 0.4590163934426229]"
,18304,"[0.0, 0.0, 0.5645161290322581, 0.4354838709677419]"
,20055,"[0.2441860465116279, 0.0, 0.7558139534883721, 0.0]"
,22786,"[0.2337662337662337, 0.7402597402597403, 0.0, 0.0259740259740259]"
,23075,"[0.0117647058823529, 0.7764705882352941, 0.0, 0.2117647058823529]"
,28311,"[0.0, 0.2727272727272727, 0.0, 0.7272727272727273]"
