barcode,positions,base_prop
,670,"[0.0357142857142857, 0.0357142857142857, 0.6071428571428571, 0.3214285714285714]"
,2509,"[0.0, 0.7647058823529411, 0.0, 0.2352941176470588]"
,2790,"[0.0, 0.2777777777777778, 0.0138888888888888, 0.7083333333333334]"
,3701,"[0.208955223880597, 0.0298507462686567, 0.7611940298507462, 0.0]"
,4321,"[0.0149253731343283, 0.417910447761194, 0.0, 0.5671641791044776]"
,4832,"[0.0, 0.788235294117647, 0.0, 0.2117647058823529]"
,7472,"[0.2253521126760563, 0.0, 0.7746478873239436, 0.0]"
,9344,"[0.0, 0.2463768115942029, 0.0144927536231884, 0.7391304347826086]"
,9424,"[0.2676056338028169, 0.0, 0.7323943661971831, 0.0]"
,9534,"[0.0, 0.2816901408450704, 0.0, 0.7183098591549296]"
,9866,"[0.03125, 0.28125, 0.0, 0.6875]"
,9891,"[0.0, 0.7714285714285715, 0.0, 0.2285714285714285]"
,10029,"[0.0, 0.2650602409638554, 0.0, 0.7349397590361446]"
,10198,"[0.0, 0.2098765432098765, 0.0, 0.7901234567901234]"
,10447,"[0.7142857142857143, 0.0, 0.2571428571428571, 0.0285714285714285]"
,12880,"[0.0, 0.2236842105263158, 0.0131578947368421, 0.7631578947368421]"
,13476,"[0.0298507462686567, 0.746268656716418, 0.0149253731343283, 0.208955223880597]"
,15714,"[0.0, 0.2708333333333333, 0.0, 0.7291666666666666]"
,17410,"[0.0140845070422535, 0.2112676056338028, 0.0, 0.7746478873239436]"
,18163,"[0.3015873015873015, 0.0, 0.6984126984126984, 0.0]"
,18299,"[0.0, 0.4242424242424242, 0.0, 0.5757575757575758]"
,18304,"[0.0, 0.0, 0.5223880597014925, 0.4776119402985074]"
,18570,"[0.0, 0.7714285714285715, 0.0, 0.2285714285714285]"
,20055,"[0.3409090909090909, 0.0, 0.6590909090909091, 0.0]"
,21987,"[0.7794117647058824, 0.0, 0.2058823529411764, 0.0147058823529411]"
,22200,"[0.0317460317460317, 0.0, 0.7619047619047619, 0.2063492063492063]"
,22578,"[0.7341772151898734, 0.0, 0.2531645569620253, 0.0126582278481012]"
,22674,"[0.0128205128205128, 0.3076923076923077, 0.0, 0.6794871794871795]"
,22679,"[0.0, 0.7375, 0.0125, 0.25]"
,22686,"[0.0, 0.2467532467532467, 0.0129870129870129, 0.7402597402597403]"
,22688,"[0.2875, 0.0, 0.7, 0.0125]"
,22775,"[0.6867469879518072, 0.0, 0.3132530120481928, 0.0]"
,22786,"[0.3076923076923077, 0.6794871794871795, 0.0, 0.0128205128205128]"
,22882,"[0.0, 0.0128205128205128, 0.717948717948718, 0.2692307692307692]"
,22992,"[0.7466666666666667, 0.0, 0.2533333333333333, 0.0]"
,23013,"[0.2933333333333333, 0.6933333333333334, 0.0133333333333333, 0.0]"
,23040,"[0.2631578947368421, 0.0, 0.7368421052631579, 0.0]"
,23055,"[0.3076923076923077, 0.0, 0.6923076923076923, 0.0]"
,23063,"[0.2692307692307692, 0.0128205128205128, 0.0, 0.717948717948718]"
,23075,"[0.0, 0.7160493827160493, 0.0, 0.2839506172839506]"
,23525,"[0.0123456790123456, 0.2592592592592592, 0.0, 0.7283950617283951]"
,23599,"[0.0126582278481012, 0.0, 0.7341772151898734, 0.2531645569620253]"
,23604,"[0.6790123456790124, 0.0864197530864197, 0.2098765432098765, 0.0246913580246913]"
,23854,"[0.7534246575342466, 0.2465753424657534, 0.0, 0.0]"
,23948,"[0.0, 0.0, 0.2285714285714285, 0.7714285714285715]"
,24410,"[0.2236842105263158, 0.0, 0.7763157894736842, 0.0]"
,24424,"[0.24, 0.0133333333333333, 0.0, 0.7466666666666667]"
,24469,"[0.7647058823529411, 0.0147058823529411, 0.0, 0.2205882352941176]"
,25469,"[0.0, 0.7547169811320755, 0.0, 0.2452830188679245]"
,25584,"[0.0, 0.2765957446808511, 0.0, 0.723404255319149]"
,26060,"[0.0, 0.2093023255813953, 0.0, 0.7906976744186046]"
,26270,"[0.0227272727272727, 0.2045454545454545, 0.0, 0.7727272727272727]"
,26858,"[0.0, 0.2363636363636363, 0.0, 0.7636363636363637]"
,27382,"[0.0298507462686567, 0.7164179104477612, 0.2388059701492537, 0.0149253731343283]"
,27383,"[0.2794117647058823, 0.0147058823529411, 0.0, 0.7058823529411765]"
,27384,"[0.0, 0.7323943661971831, 0.0, 0.2676056338028169]"
,27638,"[0.0163934426229508, 0.2295081967213114, 0.0163934426229508, 0.7377049180327869]"
,27752,"[0.0327868852459016, 0.7377049180327869, 0.0, 0.2295081967213114]"
,27807,"[0.0338983050847457, 0.2542372881355932, 0.0, 0.711864406779661]"
,28271,"[0.2318840579710145, 0.0, 0.0, 0.7681159420289855]"
,28311,"[0.0, 0.3513513513513513, 0.0, 0.6486486486486487]"
,29510,"[0.303030303030303, 0.6868686868686869, 0.0, 0.0101010101010101]"
