ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,9,94
2,47,7,94
3,71,4,94
4,95,7,94
5,113,15,94
6,179,38,94
7,260,65,93
8,303,67,93
9,335,75,94
10,404,69,25
11,417,68,94
12,437,71,94
13,466,63,94
14,467,57,94
15,563,101,94
16,566,101,94
17,647,94,94
18,782,65,94
19,793,60,89
20,821,36,94
21,914,34,94
22,925,36,91
23,1001,35,94
24,1055,39,94
25,1102,45,93
26,1160,58,94
27,1207,56,94
28,1232,57,94
29,1323,53,94
30,1373,34,94
31,1418,63,94
32,1620,65,94
33,1665,36,94
34,1817,56,94
35,1923,40,94
36,1992,57,94
37,2129,51,94
38,2135,50,94
39,2141,52,94
40,2204,26,91
41,2426,63,94
42,2636,58,93
43,2771,42,91
44,2874,46,94
45,2975,55,94
46,3162,48,94
47,3191,58,94
48,3248,70,94
49,3471,42,94
50,3530,39,94
51,3586,39,94
52,3736,53,92
53,3915,61,86
54,4034,47,94
55,4191,59,94
56,4417,54,94
57,4627,24,94
58,4660,21,94
59,4918,51,87
60,5249,53,93
61,5315,51,94
62,5658,35,93
63,7205,64,94
64,7585,54,92
65,7874,91,93
66,8042,42,94
67,9763,38,59
68,9869,46,93
69,10401,15,94
70,10415,11,94
71,10585,71,94
72,11894,42,90
73,12470,45,94
74,14075,60,94
75,16775,27,94
76,18320,44,94
77,21307,51,94
78,21332,57,93
79,21378,63,24
80,21499,59,73
81,21937,80,94
82,21963,56,91
83,22336,55,41
84,22550,73,86
85,22570,78,93
86,22571,75,38
87,22640,53,39
88,22675,66,62
89,23693,81,94
90,24674,78,94
91,24816,81,94
92,24817,82,94
93,25395,72,93
