ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,10,94
2,47,16,94
3,71,14,94
4,95,12,94
5,113,21,94
6,179,43,94
7,260,60,93
8,303,64,93
9,335,57,94
10,404,47,25
11,417,58,94
12,437,65,94
13,466,57,94
14,467,53,94
15,563,86,94
16,566,87,94
17,647,78,94
18,782,37,94
19,793,31,89
20,821,29,94
21,914,48,94
22,925,53,91
23,1001,43,94
24,1055,43,94
25,1102,48,93
26,1160,65,94
27,1207,45,94
28,1232,55,94
29,1323,49,94
30,1373,29,94
31,1418,57,94
32,1620,54,94
33,1665,35,94
34,1817,41,94
35,1923,28,94
36,1992,42,94
37,2129,33,94
38,2135,29,94
39,2141,27,94
40,2204,24,91
41,2426,49,94
42,2636,46,93
43,2771,36,91
44,2874,41,94
45,2975,48,94
46,3162,42,94
47,3191,51,94
48,3248,59,94
49,3471,44,94
50,3530,42,94
51,3586,43,94
52,3736,56,92
53,3915,67,86
54,4034,45,94
55,4191,59,94
56,4417,58,94
57,4627,34,94
58,4660,30,94
59,4918,37,87
60,5249,61,93
61,5315,63,94
62,5658,21,93
63,7205,89,94
64,7585,53,92
65,7874,90,93
66,8042,36,94
67,9763,46,59
68,9869,43,93
69,10401,42,94
70,10415,38,94
71,10585,72,94
72,11894,40,90
73,12470,37,94
74,14075,68,94
75,16775,45,94
76,18320,48,94
77,21307,51,94
78,21332,52,93
79,21378,35,24
80,21499,35,73
81,21937,46,94
82,21963,30,91
83,22336,36,41
84,22550,50,86
85,22570,58,93
86,22571,54,38
87,22640,41,39
88,22675,59,62
89,23693,65,94
90,24674,62,94
91,24816,66,94
92,24817,66,94
93,25395,65,93
