ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,26,94
2,47,39,94
3,71,38,94
4,95,19,94
5,113,31,94
6,179,32,94
7,260,36,93
8,303,33,93
9,335,31,94
10,404,32,25
11,417,39,94
12,437,35,94
13,466,41,94
14,467,40,94
15,563,36,94
16,566,37,94
17,647,35,94
18,782,28,94
19,793,31,89
20,821,28,94
21,914,41,94
22,925,45,91
23,1001,41,94
24,1055,44,94
25,1102,36,93
26,1160,38,94
27,1207,30,94
28,1232,24,94
29,1323,28,94
30,1373,32,94
31,1418,42,94
32,1620,33,94
33,1665,27,94
34,1817,36,94
35,1923,34,94
36,1992,38,94
37,2129,49,94
38,2135,44,94
39,2141,37,94
40,2204,24,91
41,2426,45,94
42,2636,35,93
43,2771,33,91
44,2874,29,94
45,2975,43,94
46,3162,52,94
47,3191,43,94
48,3248,49,94
49,3471,40,94
50,3530,26,94
51,3586,40,94
52,3736,35,92
53,3915,30,86
54,4034,36,94
55,4191,5,94
56,4417,3,94
57,4627,39,94
58,4660,50,94
59,4918,36,87
60,5249,35,93
61,5315,41,94
62,5658,42,93
63,7205,44,94
64,7585,39,92
65,7874,36,93
66,8042,48,94
67,9763,48,59
68,9869,44,93
69,10401,52,94
70,10415,49,94
71,10585,43,94
72,11894,41,90
73,12470,39,94
74,14075,42,94
75,16775,45,94
76,18320,46,94
77,21307,36,94
78,21332,40,93
79,21378,39,24
80,21499,49,73
81,21937,43,94
82,21963,36,91
83,22336,0,41
84,22550,37,9
85,22570,51,93
86,22571,47,38
87,22640,31,39
88,22675,44,62
89,23693,39,94
90,24674,44,94
91,24816,52,94
92,24817,50,94
93,25395,34,93
