barcode,positions,base_prop
,670,"[0.000340020401224, 0.0, 0.3386603196191771, 0.6609996599795988]"
,2790,"[0.0005422993492407, 0.5808026030368764, 0.0002711496746203, 0.4183839479392625]"
,2832,"[0.4659993096306524, 0.0, 0.5340006903693476, 0.0]"
,3987,"[0.0, 0.5664739884393064, 0.0, 0.4335260115606936]"
,4184,"[0.4214917825537294, 0.0, 0.5785082174462706, 0.0]"
,4321,"[0.0, 0.6589963958968672, 0.0, 0.3410036041031328]"
,5386,"[0.0002970885323826, 0.0, 0.51010101010101, 0.4896019013666072]"
,8017,"[0.0, 0.0, 0.453411306042885, 0.546588693957115]"
,8393,"[0.5274476513865308, 0.0, 0.4725523486134692, 0.0]"
,9344,"[0.0002260397830018, 0.615506329113924, 0.0, 0.3842676311030741]"
,9424,"[0.5966652596032082, 0.0, 0.4033347403967919, 0.0]"
,9534,"[0.0, 0.6143808995002776, 0.0, 0.3856191004997223]"
,9866,"[0.0, 0.5967567567567568, 0.0, 0.4032432432432432]"
,10447,"[0.4296153846153846, 0.0, 0.5703846153846154, 0.0]"
,11537,"[0.445124617402711, 0.0, 0.5540008745080892, 0.0008745080891998]"
,12880,"[0.0002554278416347, 0.6337164750957854, 0.0, 0.3660280970625798]"
,13195,"[0.0, 0.4965857359635812, 0.0, 0.5034142640364189]"
,15240,"[0.0, 0.5638418079096045, 0.0007532956685499, 0.4354048964218456]"
,15714,"[0.0048517520215633, 0.5730458221024258, 0.0, 0.4221024258760107]"
,17410,"[0.000349528137015, 0.6511709192590004, 0.0, 0.3484795526039846]"
,19955,"[0.0, 0.5986111111111111, 0.0, 0.4013888888888889]"
,20055,"[0.5615671641791045, 0.0, 0.4379664179104477, 0.0004664179104477]"
,21618,"[0.0, 0.6458492003046459, 0.0, 0.3541507996953541]"
,21762,"[0.0, 0.6531667384747953, 0.0, 0.3468332615252046]"
,21846,"[0.0, 0.5091690544412607, 0.0, 0.4908309455587392]"
,22882,"[0.0, 0.0, 0.5878003696857671, 0.4121996303142329]"
,22898,"[0.3275434243176178, 0.0, 0.6724565756823822, 0.0]"
,23048,"[0.3565022421524663, 0.0, 0.6434977578475336, 0.0]"
,23202,"[0.4326530612244898, 0.5673469387755102, 0.0, 0.0]"
,24130,"[0.4751655629139072, 0.5248344370860927, 0.0, 0.0]"
,24503,"[0.0, 0.5003460207612457, 0.0, 0.4996539792387543]"
,24826,"[0.0, 0.516015132408575, 0.0002522068095838, 0.4837326607818411]"
,26060,"[0.0, 0.5295291300877893, 0.0, 0.4704708699122107]"
,26858,"[0.0, 0.5573221757322175, 0.0, 0.4426778242677824]"
,27382,"[0.0, 0.3196162585205756, 0.6803837414794244, 0.0]"
,27383,"[0.6809862735129639, 0.0, 0.0, 0.3190137264870361]"
,27384,"[0.0, 0.3234172387490465, 0.0, 0.6765827612509535]"
,29510,"[0.7077594894188781, 0.2915686933154182, 0.0, 0.0006718172657037]"
