ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,23,94
2,47,31,94
3,71,32,94
4,95,28,94
5,113,27,94
6,179,27,94
7,260,37,93
8,303,25,93
9,335,24,94
10,404,6,70
11,417,30,94
12,437,32,94
13,466,31,94
14,467,27,94
15,563,34,94
16,566,29,94
17,647,35,94
18,782,36,94
19,793,30,89
20,821,27,94
21,914,37,94
22,925,44,91
23,1001,36,94
24,1055,34,94
25,1102,38,93
26,1160,38,94
27,1207,24,94
28,1232,33,94
29,1323,31,94
30,1373,35,94
31,1418,41,94
32,1620,30,94
33,1665,35,94
34,1817,42,94
35,1923,31,94
36,1992,34,94
37,2129,36,94
38,2135,34,94
39,2141,31,94
40,2204,32,91
41,2426,35,94
42,2636,25,93
43,2771,29,91
44,2874,34,94
45,2975,29,94
46,3162,37,94
47,3191,32,94
48,3248,39,94
49,3471,44,94
50,3530,34,94
51,3586,36,94
52,3736,40,92
53,3915,7,9
54,4034,32,94
55,4191,10,94
56,4417,11,94
57,4627,35,94
58,4660,43,94
59,4918,31,87
60,5249,32,93
61,5315,45,94
62,5658,37,93
63,7205,37,94
64,7585,36,92
65,7874,41,93
66,8042,45,94
67,9763,36,59
68,9869,33,93
69,10401,38,94
70,10415,41,94
71,10585,38,94
72,11894,28,90
73,12470,39,94
74,14075,32,94
75,16775,36,94
76,18320,33,94
77,21307,26,94
78,21332,40,93
79,21378,8,71
80,21499,34,73
81,21937,31,94
82,21963,17,91
83,22336,6,54
84,22550,7,86
85,22570,35,93
86,22571,8,57
87,22640,6,56
88,22675,10,31
89,23693,35,94
90,24674,40,94
91,24816,43,94
92,24817,43,94
93,25395,24,93
