ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,30,94
2,47,28,94
3,71,34,94
4,95,19,94
5,113,28,94
6,179,30,94
7,260,39,93
8,303,29,93
9,335,28,94
10,404,23,25
11,417,34,94
12,437,32,94
13,466,31,94
14,467,31,94
15,563,38,94
16,566,33,94
17,647,28,94
18,782,29,94
19,793,24,89
20,821,28,94
21,914,36,94
22,925,43,91
23,1001,37,94
24,1055,42,94
25,1102,39,93
26,1160,36,94
27,1207,24,94
28,1232,24,94
29,1323,36,94
30,1373,31,94
31,1418,44,94
32,1620,34,94
33,1665,32,94
34,1817,41,94
35,1923,37,94
36,1992,43,94
37,2129,31,94
38,2135,25,94
39,2141,28,94
40,2204,23,91
41,2426,44,94
42,2636,32,93
43,2771,27,91
44,2874,29,94
45,2975,42,94
46,3162,36,94
47,3191,41,94
48,3248,42,94
49,3471,43,94
50,3530,28,94
51,3586,41,94
52,3736,41,92
53,3915,31,86
54,4034,36,94
55,4191,6,94
56,4417,8,94
57,4627,42,94
58,4660,50,94
59,4918,37,87
60,5249,43,93
61,5315,42,94
62,5658,47,93
63,7205,49,94
64,7585,45,92
65,7874,43,93
66,8042,47,94
67,9763,41,59
68,9869,43,93
69,10401,43,94
70,10415,38,94
71,10585,47,94
72,11894,40,90
73,12470,40,94
74,14075,47,94
75,16775,44,94
76,18320,46,94
77,21307,44,94
78,21332,47,93
79,21378,38,24
80,21499,52,73
81,21937,42,94
82,21963,30,91
83,22336,0,41
84,22550,39,9
85,22570,48,93
86,22571,39,38
87,22640,40,39
88,22675,51,62
89,23693,39,94
90,24674,50,94
91,24816,55,94
92,24817,53,94
93,25395,40,93
