ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,26,94
2,47,29,94
3,71,31,94
4,95,23,94
5,113,31,94
6,179,23,94
7,260,38,93
8,303,40,93
9,335,30,94
10,404,29,25
11,417,28,94
12,437,33,94
13,466,29,94
14,467,26,94
15,563,36,94
16,566,37,94
17,647,26,94
18,782,32,94
19,793,29,89
20,821,28,94
21,914,41,94
22,925,36,91
23,1001,43,94
24,1055,33,94
25,1102,28,93
26,1160,42,94
27,1207,25,94
28,1232,26,94
29,1323,29,94
30,1373,36,94
31,1418,34,94
32,1620,33,94
33,1665,25,94
34,1817,31,94
35,1923,28,94
36,1992,35,94
37,2129,27,94
38,2135,27,94
39,2141,32,94
40,2204,21,91
41,2426,35,94
42,2636,35,93
43,2771,26,91
44,2874,23,94
45,2975,33,94
46,3162,32,94
47,3191,38,94
48,3248,35,94
49,3471,35,94
50,3530,32,94
51,3586,33,94
52,3736,36,92
53,3915,31,86
54,4034,29,94
55,4191,0,94
56,4417,0,94
57,4627,34,94
58,4660,40,94
59,4918,43,87
60,5249,37,93
61,5315,43,94
62,5658,38,93
63,7205,54,94
64,7585,46,92
65,7874,37,93
66,8042,41,94
67,9763,35,59
68,9869,42,93
69,10401,46,94
70,10415,49,94
71,10585,41,94
72,11894,46,90
73,12470,45,94
74,14075,49,94
75,16775,51,94
76,18320,60,94
77,21307,39,94
78,21332,53,93
79,21378,49,24
80,21499,41,73
81,21937,49,94
82,21963,34,91
83,22336,0,41
84,22550,45,9
85,22570,55,93
86,22571,54,38
87,22640,49,39
88,22675,47,62
89,23693,42,94
90,24674,46,94
91,24816,56,94
92,24817,51,94
93,25395,44,93
