barcode,positions,base_prop
,100,"[0.0007446016381236, 0.6552494415487714, 0.0007446016381236, 0.3432613551749814]"
,733,"[0.0, 0.5914893617021276, 0.0011605415860735, 0.4073500967117988]"
,2749,"[0.0015052684395383, 0.3973908680381334, 0.0020070245860511, 0.599096838936277]"
,3828,"[0.0012353304508956, 0.4095120444718962, 0.0, 0.5892526250772081]"
,4815,"[0.0, 0.4138869979577944, 0.001361470388019, 0.5847515316541865]"
,5648,"[0.4114149821640904, 0.5879904875148633, 0.0, 0.0005945303210463]"
,6319,"[0.4127725856697819, 0.0007788161993769, 0.5856697819314641, 0.0007788161993769]"
,6613,"[0.4055994256999282, 0.0007178750897343, 0.592964824120603, 0.0007178750897343]"
,6627,"[0.0007806401249024, 0.3942232630757221, 0.0, 0.6049960967993755]"
,10667,"[0.0003624501631025, 0.0003624501631025, 0.3758608191373686, 0.6234142805364262]"
,11824,"[0.0, 0.6060903732809431, 0.0, 0.393909626719057]"
,12053,"[0.0017969451931716, 0.6226415094339622, 0.0017969451931716, 0.3737646001796945]"
,12778,"[0.0020876826722338, 0.4140570633263744, 0.0020876826722338, 0.581767571329158]"
,12964,"[0.6028776978417266, 0.0028776978417266, 0.3935251798561151, 0.0007194244604316]"
,13860,"[0.0012254901960784, 0.3786764705882353, 0.0006127450980392, 0.6194852941176471]"
,17259,"[0.0004405286343612, 0.0004405286343612, 0.4074889867841409, 0.5916299559471365]"
,18486,"[0.0006215040397762, 0.63621296871763, 0.3619225191630412, 0.0012430080795525]"
,20719,"[0.001006643849406, 0.438091403261526, 0.0014093013891685, 0.5592913227300181]"
,21123,"[0.0024038461538461, 0.0, 0.5913461538461539, 0.40625]"
,21614,"[0.0006605019815059, 0.3910171730515192, 0.0013210039630118, 0.607001321003963]"
,21621,"[0.5965753424657534, 0.4020547945205479, 0.0006849315068493, 0.0006849315068493]"
,21638,"[0.0019120458891013, 0.3964308476736775, 0.0006373486297004, 0.6010197578075207]"
,21974,"[0.0008271298593879, 0.0008271298593879, 0.3937138130686518, 0.6046319272125724]"
,22132,"[0.000852514919011, 0.0, 0.4117647058823529, 0.587382779198636]"
,22812,"[0.438692098092643, 0.5603996366939146, 0.0009082652134423, 0.0]"
,23063,"[0.4142394822006472, 0.0, 0.0010787486515641, 0.5846817691477886]"
,23525,"[0.0002619858527639, 0.4029342415509562, 0.0015719151165837, 0.5952318574796961]"
,24642,"[0.0007604562737642, 0.4019011406844106, 0.0, 0.5973384030418251]"
,26149,"[0.002828187603111, 0.5717652604289418, 0.0025925053028517, 0.4228140466650955]"
,27684,"[0.0003576537911301, 0.5926323319027181, 0.0003576537911301, 0.4066523605150214]"
,27901,"[0.000451467268623, 0.4027088036117381, 0.001354401805869, 0.5954853273137698]"
,28077,"[0.3780151619572708, 0.0, 0.6216402481047554, 0.0003445899379738]"
,28167,"[0.5982332155477031, 0.001060070671378, 0.4007067137809187, 0.0]"
,28253,"[0.0, 0.6373223292067859, 0.0004585052728106, 0.3622191655204035]"
,28512,"[0.0, 0.4005665722379603, 0.5994334277620397, 0.0]"
,28628,"[0.0005973715651135, 0.0029868578255675, 0.5806451612903226, 0.4157706093189964]"
,28975,"[0.000738552437223, 0.000738552437223, 0.5753323485967504, 0.4231905465288035]"
,29754,"[0.0, 0.475095785440613, 0.0, 0.524904214559387]"
