barcode,positions,base_prop
,100,"[0.0, 0.4468085106382978, 0.0006863417982155, 0.5525051475634866]"
,1264,"[0.0013755158184319, 0.0009170105456212, 0.635946813388354, 0.3617606602475928]"
,2644,"[0.0005017561465127, 0.6026091319618665, 0.0005017561465127, 0.3963873557451078]"
,2879,"[0.3893333333333333, 0.0, 0.6106666666666667, 0.0]"
,6195,"[0.0021393643031784, 0.3710268948655256, 0.0003056234718826, 0.6265281173594132]"
,6706,"[0.0010700909577314, 0.6359015516318887, 0.0005350454788657, 0.3624933119315142]"
,7164,"[0.0005354752342704, 0.3997322623828648, 0.0005354752342704, 0.5991967871485944]"
,7600,"[0.000622858922454, 0.6189660541887263, 0.000622858922454, 0.3797882279663656]"
,7851,"[0.0007038535984515, 0.6385711771951434, 0.0012317437972901, 0.3594932254091149]"
,10318,"[0.0, 0.0001822821728034, 0.3840685380969741, 0.6157491797302224]"
,10667,"[0.0013658092419758, 0.0009105394946505, 0.6335078534031413, 0.3642157978602321]"
,11078,"[0.0, 0.4128440366972477, 0.0021586616297895, 0.5849973016729627]"
,11824,"[0.0006849315068493, 0.3684931506849315, 0.0006849315068493, 0.6301369863013698]"
,12053,"[0.000653167864141, 0.372305682560418, 0.0013063357282821, 0.6257348138471587]"
,12253,"[0.0010913059294288, 0.3979628955983994, 0.0014550745725718, 0.5994907238995999]"
,17703,"[0.0002551020408163, 0.6415816326530612, 0.0002551020408163, 0.3579081632653061]"
,18366,"[0.6230653076632692, 0.003208758021895, 0.3724046810117025, 0.0013212533031332]"
,18508,"[0.0023622047244094, 0.6295275590551181, 0.0007874015748031, 0.3673228346456693]"
,19602,"[0.0002489110143123, 0.633105164903547, 0.0, 0.3666459240821406]"
,25088,"[0.001172676634418, 0.000586338317209, 0.3808267370272647, 0.6174142480211082]"
,25844,"[0.0011530700490054, 0.3759008359757855, 0.0005765350245027, 0.6223695589507062]"
,27299,"[0.0010949904188338, 0.3498494388174104, 0.0, 0.6490555707637559]"
,27853,"[0.6552604698672114, 0.34244126659857, 0.0007660878447395, 0.001532175689479]"
,28010,"[0.000285062713797, 0.612884834663626, 0.0008551881413911, 0.3859749144811858]"
,28045,"[0.0014822134387351, 0.379693675889328, 0.0019762845849802, 0.6168478260869565]"
,28253,"[0.0, 0.3641196013289036, 0.0009966777408637, 0.6348837209302326]"
,28628,"[0.0015467904098994, 0.0007733952049497, 0.4098994586233565, 0.5877803557617943]"
,28975,"[0.0, 0.0007942811755361, 0.4392374900714853, 0.5599682287529786]"
,29148,"[0.0031771247021445, 0.4289118347895155, 0.0007942811755361, 0.5671167593328038]"
,29722,"[0.0009242144177449, 0.6025878003696857, 0.0009242144177449, 0.3955637707948244]"
,29754,"[0.0024844720496894, 0.3130434782608696, 0.0, 0.684472049689441]"
