barcode,positions,base_prop
,733,"[0.000539374325782, 0.6747572815533981, 0.0, 0.3247033441208198]"
,1190,"[0.0, 0.6691042047531993, 0.0, 0.3308957952468007]"
,2306,"[0.0, 0.7806004618937644, 0.0, 0.2193995381062355]"
,2544,"[0.0, 0.7028571428571428, 0.0, 0.2971428571428571]"
,2749,"[0.0, 0.3231939163498099, 0.0, 0.6768060836501901]"
,3828,"[0.0, 0.3408239700374532, 0.0, 0.6591760299625468]"
,5648,"[0.358678955453149, 0.641321044546851, 0.0, 0.0]"
,5849,"[0.0, 0.3235294117647059, 0.0, 0.6764705882352942]"
,12778,"[0.0, 0.3562753036437247, 0.0013495276653171, 0.6423751686909581]"
,13860,"[0.0, 0.3045977011494253, 0.0, 0.6954022988505747]"
,17259,"[0.0023364485981308, 0.0, 0.3411214953271028, 0.6565420560747663]"
,20178,"[0.0, 0.7222222222222222, 0.0, 0.2777777777777778]"
,21614,"[0.0, 0.3681592039800995, 0.0, 0.6318407960199005]"
,21621,"[0.6510416666666666, 0.3489583333333333, 0.0, 0.0]"
,21638,"[0.0, 0.3439490445859872, 0.0, 0.6560509554140127]"
,21974,"[0.0, 0.0, 0.4029850746268656, 0.5970149253731343]"
,22132,"[0.0, 0.0, 0.5204081632653061, 0.4795918367346938]"
,22812,"[0.3145539906103286, 0.6854460093896714, 0.0, 0.0]"
,23012,"[0.6459854014598541, 0.0, 0.354014598540146, 0.0]"
,23063,"[0.3364485981308411, 0.0, 0.0, 0.6635514018691588]"
,23525,"[0.0007880220646178, 0.2813238770685579, 0.0, 0.7178881008668243]"
,24642,"[0.0, 0.3167587476979742, 0.0, 0.6832412523020258]"
,25912,"[0.0, 0.0, 0.7295081967213115, 0.2704918032786885]"
,27261,"[0.0, 0.0, 0.748, 0.252]"
,28167,"[0.6268656716417911, 0.0, 0.373134328358209, 0.0]"
,28290,"[0.0009394081728511, 0.6416157820573039, 0.0, 0.357444809769845]"
,28512,"[0.000557258289217, 0.3672332125940373, 0.6316522708275285, 0.000557258289217]"
