ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,38,94
2,47,33,94
3,71,29,94
4,95,35,94
5,113,30,94
6,179,32,94
7,260,37,93
8,303,36,93
9,335,39,94
10,404,30,25
11,417,30,94
12,437,38,94
13,466,37,94
14,467,39,94
15,563,45,94
16,566,44,94
17,647,33,94
18,782,24,94
19,793,27,89
20,821,27,94
21,914,33,94
22,925,37,91
23,1001,32,94
24,1055,30,94
25,1102,26,93
26,1160,45,94
27,1207,43,94
28,1232,36,94
29,1323,36,94
30,1373,25,94
31,1418,33,94
32,1620,34,94
33,1665,31,94
34,1817,44,94
35,1923,32,94
36,1992,30,94
37,2129,33,94
38,2135,29,94
39,2141,29,94
40,2204,27,91
41,2426,35,94
42,2636,30,93
43,2771,31,91
44,2874,31,94
45,2975,41,94
46,3162,43,94
47,3191,42,94
48,3248,46,94
49,3471,37,94
50,3530,37,94
51,3586,35,94
52,3736,31,92
53,3915,31,86
54,4034,37,94
55,4191,10,94
56,4417,9,94
57,4627,41,94
58,4660,40,94
59,4918,34,87
60,5249,44,93
61,5315,46,94
62,5658,44,93
63,7205,40,94
64,7585,50,92
65,7874,40,93
66,8042,49,94
67,9763,45,59
68,9869,46,93
69,10401,34,94
70,10415,47,94
71,10585,41,94
72,11894,52,90
73,12470,44,94
74,14075,44,94
75,16775,42,94
76,18320,34,94
77,21307,31,94
78,21332,39,93
79,21378,32,24
80,21499,37,73
81,21937,29,94
82,21963,27,91
83,22336,0,41
84,22550,31,9
85,22570,46,93
86,22571,35,38
87,22640,18,39
88,22675,35,62
89,23693,44,94
90,24674,45,94
91,24816,47,94
92,24817,45,94
93,25395,43,93
