ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,39,94
2,47,33,94
3,71,24,94
4,95,32,94
5,113,36,94
6,179,41,94
7,260,33,93
8,303,34,93
9,335,42,94
10,404,29,25
11,417,29,94
12,437,36,94
13,466,31,94
14,467,30,94
15,563,35,94
16,566,37,94
17,647,34,94
18,782,23,94
19,793,34,89
20,821,17,94
21,914,34,94
22,925,40,91
23,1001,41,94
24,1055,30,94
25,1102,33,93
26,1160,34,94
27,1207,37,94
28,1232,42,94
29,1323,33,94
30,1373,29,94
31,1418,30,94
32,1620,47,94
33,1665,32,94
34,1817,50,94
35,1923,29,94
36,1992,45,94
37,2129,33,94
38,2135,39,94
39,2141,30,94
40,2204,37,91
41,2426,43,94
42,2636,36,93
43,2771,34,91
44,2874,38,94
45,2975,45,94
46,3162,47,94
47,3191,43,94
48,3248,38,94
49,3471,39,94
50,3530,29,94
51,3586,31,94
52,3736,34,92
53,3915,27,86
54,4034,40,94
55,4191,7,94
56,4417,6,94
57,4627,42,94
58,4660,43,94
59,4918,44,87
60,5249,33,93
61,5315,47,94
62,5658,45,93
63,7205,45,94
64,7585,40,92
65,7874,43,93
66,8042,50,94
67,9763,54,59
68,9869,52,93
69,10401,49,94
70,10415,53,94
71,10585,36,94
72,11894,53,90
73,12470,47,94
74,14075,50,94
75,16775,39,94
76,18320,40,94
77,21307,40,94
78,21332,27,93
79,21378,25,24
80,21499,25,73
81,21937,24,94
82,21963,16,91
83,22336,0,41
84,22550,32,9
85,22570,39,93
86,22571,30,38
87,22640,16,39
88,22675,35,62
89,23693,20,94
90,24674,35,94
91,24816,36,94
92,24817,39,94
93,25395,45,93
