ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,24,94
2,47,40,94
3,71,39,94
4,95,29,94
5,113,34,94
6,179,33,94
7,260,36,93
8,303,35,93
9,335,26,94
10,404,19,25
11,417,36,94
12,437,31,94
13,466,30,94
14,467,29,94
15,563,30,94
16,566,33,94
17,647,30,94
18,782,37,94
19,793,40,89
20,821,32,94
21,914,33,94
22,925,35,91
23,1001,36,94
24,1055,33,94
25,1102,40,93
26,1160,28,94
27,1207,24,94
28,1232,28,94
29,1323,28,94
30,1373,23,94
31,1418,35,94
32,1620,39,94
33,1665,30,94
34,1817,39,94
35,1923,28,94
36,1992,38,94
37,2129,41,94
38,2135,36,94
39,2141,35,94
40,2204,27,91
41,2426,37,94
42,2636,31,93
43,2771,25,91
44,2874,24,94
45,2975,43,94
46,3162,49,94
47,3191,39,94
48,3248,45,94
49,3471,41,94
50,3530,40,94
51,3586,40,94
52,3736,32,92
53,3915,22,86
54,4034,39,94
55,4191,16,94
56,4417,26,94
57,4627,45,94
58,4660,28,94
59,4918,32,87
60,5249,38,93
61,5315,37,94
62,5658,42,93
63,7205,45,94
64,7585,37,92
65,7874,45,93
66,8042,44,94
67,9763,44,59
68,9869,47,93
69,10401,50,94
70,10415,45,94
71,10585,42,94
72,11894,38,90
73,12470,34,94
74,14075,58,94
75,16775,39,94
76,18320,43,94
77,21307,37,94
78,21332,43,93
79,21378,24,24
80,21499,43,73
81,21937,19,94
82,21963,15,91
83,22336,0,41
84,22550,17,9
85,22570,42,93
86,22571,18,38
87,22640,17,39
88,22675,16,62
89,23693,31,94
90,24674,40,94
91,24816,47,94
92,24817,47,94
93,25395,33,93
