ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,266,94
2,47,298,94
3,71,317,94
4,95,253,94
5,113,263,94
6,179,237,94
7,260,291,93
8,303,303,93
9,335,302,94
10,404,293,70
11,417,303,94
12,437,346,94
13,466,301,94
14,467,279,94
15,563,319,94
16,566,311,94
17,647,263,94
18,782,274,94
19,793,254,89
20,821,198,94
21,914,1316,94
22,925,1321,91
23,1001,1156,94
24,1055,1260,94
25,1102,1223,93
26,1160,1222,94
27,1207,1020,94
28,1232,1075,94
29,1323,1111,94
30,1373,579,94
31,1418,1377,94
32,1620,1327,94
33,1665,1080,94
34,1817,940,94
35,1923,767,94
36,1992,191,94
37,2129,236,94
38,2135,211,94
39,2141,212,94
40,2204,218,91
41,2426,287,94
42,2636,171,93
43,2771,134,91
44,2874,100,94
45,2975,464,94
46,3162,538,94
47,3191,500,94
48,3248,524,94
49,3471,514,94
50,3530,459,94
51,3586,506,94
52,3736,470,92
53,3915,208,9
54,4034,0,94
55,4191,32,94
56,4417,50,94
57,4627,47,94
58,4660,48,94
59,4918,36,87
60,5249,1534,93
61,5315,1829,94
62,5658,885,93
63,7205,1613,94
64,7585,1630,92
65,7874,1756,93
66,8042,2027,94
67,9763,67,59
68,9869,88,93
69,10401,1015,94
70,10415,957,94
71,10585,819,94
72,11894,385,90
73,12470,375,94
74,14075,1038,94
75,16775,112,94
76,18320,1674,94
77,21307,1943,94
78,21332,1902,93
79,21378,1342,71
80,21499,1166,73
81,21937,1955,94
82,21963,1559,91
83,22336,989,54
84,22550,317,86
85,22570,624,93
86,22571,328,57
87,22640,335,56
88,22675,345,31
89,23693,489,94
90,24674,99,94
91,24816,128,94
92,24817,130,94
93,25395,139,93
