ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,38,94
2,47,38,94
3,71,25,94
4,95,36,94
5,113,31,94
6,179,27,94
7,260,31,93
8,303,31,93
9,335,27,94
10,404,17,70
11,417,22,94
12,437,33,94
13,466,27,94
14,467,26,94
15,563,33,94
16,566,34,94
17,647,25,94
18,782,20,94
19,793,25,89
20,821,19,94
21,914,21,94
22,925,33,91
23,1001,30,94
24,1055,28,94
25,1102,27,93
26,1160,31,94
27,1207,33,94
28,1232,31,94
29,1323,32,94
30,1373,26,94
31,1418,25,94
32,1620,33,94
33,1665,28,94
34,1817,38,94
35,1923,32,94
36,1992,31,94
37,2129,29,94
38,2135,33,94
39,2141,26,94
40,2204,26,91
41,2426,33,94
42,2636,37,93
43,2771,27,91
44,2874,28,94
45,2975,41,94
46,3162,45,94
47,3191,37,94
48,3248,41,94
49,3471,42,94
50,3530,30,94
51,3586,35,94
52,3736,33,92
53,3915,19,9
54,4034,31,94
55,4191,21,94
56,4417,18,94
57,4627,33,94
58,4660,37,94
59,4918,42,87
60,5249,34,93
61,5315,27,94
62,5658,29,93
63,7205,36,94
64,7585,35,92
65,7874,38,93
66,8042,44,94
67,9763,40,59
68,9869,42,93
69,10401,44,94
70,10415,38,94
71,10585,32,94
72,11894,49,90
73,12470,43,94
74,14075,43,94
75,16775,39,94
76,18320,36,94
77,21307,49,94
78,21332,35,93
79,21378,19,71
80,21499,29,73
81,21937,15,94
82,21963,17,91
83,22336,24,54
84,22550,20,86
85,22570,47,93
86,22571,18,57
87,22640,15,56
88,22675,17,31
89,23693,31,94
90,24674,37,94
91,24816,46,94
92,24817,45,94
93,25395,39,93
