barcode,positions,base_prop
,13,"[0.4347826086956521, 0.0, 0.0, 0.5652173913043478]"
,21,"[0.0, 0.5862068965517241, 0.0, 0.4137931034482758]"
,210,"[0.0, 0.0, 0.5547210300429185, 0.4452789699570815]"
,709,"[0.4868421052631579, 0.0, 0.5125, 0.0006578947368421]"
,1577,"[0.4043715846994535, 0.0, 0.5956284153005464, 0.0]"
,2832,"[0.5640074211502782, 0.0, 0.4359925788497217, 0.0]"
,4181,"[0.0, 0.0, 0.5755584756898817, 0.4244415243101183]"
,5386,"[0.0, 0.0, 0.4562647754137116, 0.5437352245862884]"
,5924,"[0.4896373056994819, 0.0, 0.5094991364421416, 0.0008635578583765]"
,6402,"[0.0, 0.5944, 0.0, 0.4056]"
,6538,"[0.0, 0.5133333333333333, 0.0, 0.4866666666666667]"
,7124,"[0.0, 0.5374823196605375, 0.0, 0.4625176803394625]"
,7798,"[0.0, 0.0, 0.6044678055190539, 0.3955321944809461]"
,8393,"[0.4893617021276595, 0.0, 0.5106382978723404, 0.0]"
,8986,"[0.0, 0.605009633911368, 0.0, 0.394990366088632]"
,9053,"[0.0, 0.0, 0.6136585365853658, 0.3863414634146341]"
,10449,"[0.3972012917115177, 0.6027987082884823, 0.0, 0.0]"
,11002,"[0.5814132104454686, 0.0, 0.4185867895545315, 0.0]"
,11201,"[0.5862068965517241, 0.0, 0.4137931034482758, 0.0]"
,11332,"[0.5712545676004872, 0.0, 0.4287454323995128, 0.0]"
,11537,"[0.5490405117270789, 0.0, 0.4509594882729211, 0.0]"
,13195,"[0.0, 0.4840325610519724, 0.0, 0.5159674389480275]"
,13482,"[0.5833968012185834, 0.0, 0.4166031987814166, 0.0]"
,14820,"[0.5147058823529411, 0.0, 0.4852941176470588, 0.0]"
,15240,"[0.0007390983000739, 0.549150036954915, 0.0, 0.4501108647450111]"
,15451,"[0.4116145500957243, 0.0, 0.5883854499042757, 0.0]"
,16466,"[0.0, 0.5620300751879699, 0.0, 0.43796992481203]"
,18163,"[0.497887323943662, 0.0007042253521126, 0.5014084507042254, 0.0]"
,18555,"[0.0, 0.5682382133995038, 0.0, 0.4317617866004963]"
,19220,"[0.0, 0.6036446469248291, 0.0, 0.3963553530751708]"
,21372,"[0.0, 0.0, 0.5802120141342756, 0.4197879858657243]"
,21618,"[0.0009469696969696, 0.6003787878787878, 0.3986742424242424, 0.0]"
,21762,"[0.0, 0.6299435028248588, 0.0, 0.3700564971751412]"
,22578,"[0.4561170212765957, 0.0, 0.5438829787234043, 0.0]"
,22673,"[0.0, 0.4362745098039216, 0.0, 0.5637254901960784]"
,22674,"[0.0, 0.5602503912363067, 0.0, 0.4397496087636933]"
,22679,"[0.0, 0.4507692307692307, 0.0, 0.5492307692307692]"
,22686,"[0.0, 0.5384615384615384, 0.0, 0.4615384615384615]"
,22750,"[0.0, 0.4550359712230216, 0.0, 0.5449640287769785]"
,22813,"[0.0, 0.0, 0.5260115606936416, 0.4739884393063583]"
,22882,"[0.0, 0.0, 0.5271493212669683, 0.4728506787330316]"
,22898,"[0.5241379310344828, 0.0, 0.4758620689655172, 0.0]"
,22917,"[0.0057034220532319, 0.0, 0.5437262357414449, 0.4505703422053232]"
,22992,"[0.3425324675324675, 0.0, 0.6574675324675324, 0.0]"
,23013,"[0.6721311475409836, 0.3278688524590163, 0.0, 0.0]"
,23040,"[0.7285353535353535, 0.0, 0.2714646464646464, 0.0]"
,23048,"[0.2683780630105017, 0.0, 0.7316219369894983, 0.0]"
,23055,"[0.752983293556086, 0.0, 0.247016706443914, 0.0]"
,23063,"[0.7450980392156863, 0.0, 0.0, 0.2549019607843137]"
,23075,"[0.0011890606420927, 0.2746730083234245, 0.0, 0.7241379310344828]"
,23202,"[0.4207968901846453, 0.5792031098153547, 0.0, 0.0]"
,23525,"[0.0005917159763313, 0.5556213017751479, 0.0, 0.4437869822485207]"
,23599,"[0.0, 0.0, 0.5300050428643469, 0.469994957135653]"
,23604,"[0.537513397642015, 0.0, 0.462486602357985, 0.0]"
,23854,"[0.4274322169059011, 0.5725677830940988, 0.0, 0.0]"
,23948,"[0.0, 0.0, 0.5262689225289403, 0.4737310774710596]"
,24130,"[0.4250425894378194, 0.5749574105621805, 0.0, 0.0]"
,24410,"[0.474012474012474, 0.0, 0.524948024948025, 0.001039501039501]"
,24424,"[0.4784240150093808, 0.0, 0.0, 0.5215759849906192]"
,24469,"[0.4671280276816609, 0.0, 0.0, 0.532871972318339]"
,24503,"[0.0, 0.5990279465370595, 0.0, 0.4009720534629404]"
,25000,"[0.0, 0.6336336336336337, 0.0, 0.3663663663663664]"
,25469,"[0.0, 0.4934123847167325, 0.0, 0.5065876152832675]"
,25568,"[0.0, 0.5296167247386759, 0.0, 0.470383275261324]"
,25584,"[0.0, 0.5089641434262948, 0.0, 0.4910358565737052]"
,25728,"[0.0, 0.7780149413020278, 0.0, 0.2219850586979722]"
,26270,"[0.0, 0.4269113149847094, 0.0, 0.5730886850152905]"
,26530,"[0.4228971962616822, 0.0, 0.5771028037383178, 0.0]"
,26577,"[0.0, 0.4327433628318584, 0.5672566371681416, 0.0]"
,26709,"[0.638731596828992, 0.0, 0.3612684031710079, 0.0]"
,26767,"[0.0, 0.3142375737152485, 0.0, 0.6857624262847515]"
,27259,"[0.5555555555555556, 0.4444444444444444, 0.0, 0.0]"
,27638,"[0.0, 0.3275178429817605, 0.0, 0.6724821570182395]"
,27752,"[0.0, 0.5863073561544064, 0.0007283321194464, 0.4129643117261471]"
,27807,"[0.0, 0.4712643678160919, 0.0, 0.5287356321839081]"
,27874,"[0.0, 0.6365614798694232, 0.0, 0.3634385201305767]"
,28311,"[0.0, 0.5915985997666278, 0.0, 0.4084014002333722]"
,28461,"[0.6588868940754039, 0.0, 0.341113105924596, 0.0]"
,28881,"[0.4101437699680511, 0.0, 0.0003993610223642, 0.5894568690095847]"
,28882,"[0.4112903225806452, 0.0, 0.5887096774193549, 0.0]"
,28883,"[0.0004037141703673, 0.4129995962858296, 0.586596689543803, 0.0]"
,28916,"[0.0, 0.0, 0.5913730655251893, 0.4086269344748107]"
,29402,"[0.0, 0.0, 0.6486021505376344, 0.3513978494623656]"
,29674,"[0.0006138735420503, 0.0, 0.663597298956415, 0.3357888275015346]"
,29742,"[0.0, 0.0, 0.6856540084388185, 0.3143459915611814]"
