barcode,positions,base_prop
,670,"[0.0, 0.0, 0.7894736842105263, 0.2105263157894736]"
,4184,"[0.7692307692307693, 0.0, 0.2115384615384615, 0.0192307692307692]"
,4321,"[0.0, 0.3076923076923077, 0.0, 0.6923076923076923]"
,20055,"[0.2068965517241379, 0.0, 0.7758620689655172, 0.0172413793103448]"
,22786,"[0.2647058823529412, 0.7352941176470589, 0.0, 0.0]"
,22792,"[0.0, 0.2222222222222222, 0.0, 0.7777777777777778]"
,22813,"[0.0, 0.0, 0.2083333333333333, 0.7916666666666666]"
,23040,"[0.3012048192771084, 0.0, 0.6987951807228916, 0.0]"
,27384,"[0.0109890109890109, 0.6923076923076923, 0.0109890109890109, 0.2857142857142857]"
,28795,"[0.2345679012345679, 0.0, 0.7654320987654321, 0.0]"
