ID,Column_ID,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,27828,94
2,47,3748,94
3,71,3557,94
4,95,4389,94
5,113,2592,94
6,179,7725,94
7,260,12685,2
8,303,9058,93
9,335,12865,94
10,404,5657,70
11,417,16417,94
12,437,16447,94
13,466,14067,94
14,467,14052,94
15,563,5634,94
16,566,5634,94
17,647,1416,94
18,782,104,94
19,793,108,89
20,821,831,94
21,914,1395,94
22,925,1223,91
23,1001,2985,94
24,1055,3566,94
25,1102,684,93
26,1160,9869,94
27,1207,13087,94
28,1232,13186,94
29,1323,4948,94
30,1373,887,94
31,1418,323,94
32,1620,2292,94
33,1665,2030,94
34,1817,3881,94
35,1923,549,94
36,1992,932,94
37,2129,1509,94
38,2135,1485,94
39,2141,1488,94
40,2204,644,91
41,2426,1423,94
42,2636,2460,93
43,2771,1898,91
44,2874,1688,94
45,2975,1285,94
46,3162,222,94
47,3191,1152,94
48,3248,1003,94
49,3471,171,94
50,3530,191,94
51,3586,103,94
52,3736,79,92
53,3915,1916,9
54,4034,476,94
55,4191,2303,94
56,4417,784,94
57,4627,367,94
58,4660,2122,94
59,4918,1811,87
60,5249,2555,93
61,5315,3455,94
62,5658,1447,93
63,7205,11389,94
64,7585,1390,92
65,7874,303,93
66,8042,1777,94
67,9763,3776,59
68,9869,1284,93
69,10401,364,94
70,10415,2896,94
71,10585,2412,94
72,11894,1072,90
73,12470,1971,94
74,14075,534,94
75,16775,10824,94
76,18320,1013,94
77,21307,254,94
78,21332,751,93
79,21378,563,71
80,21499,5281,73
81,21937,235,94
82,21963,234,91
83,22336,0,54
84,22550,1899,86
85,22570,543,93
86,22571,543,57
87,22640,824,56
88,22675,601,31
89,23693,0,94
90,24674,454,94
91,24816,1093,94
92,24817,1095,94
93,25395,12463,93
