taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
Coinfection-nanopore2020-20%-error-20%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-2%-error-5%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.85,0.1,scorpio call: Alt alleles 53; Ref alleles 6; Amb alleles 3; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: BA.2(1/1)
Coinfection-nanopore2020-5%-error-50%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-10%-error-20%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-2%-error-10%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.53,0.09,scorpio call: Alt alleles 17; Ref alleles 3; Amb alleles 12; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-10%-error-50%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-5%-error-20%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-5%-error-10%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.59,0.09,scorpio call: Alt alleles 19; Ref alleles 3; Amb alleles 10; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-10%-minor-variant,BA.2,0.0,,Omicron (Unassigned),0.84,0.09,scorpio call: Alt alleles 27; Ref alleles 3; Amb alleles 2; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(3/3); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-2%-error-50%-minor-variant,B.1.1.529,0.5,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/2) B.1.617.2(1/2)
Coinfection-nanopore2020-20%-error-50%-minor-variant,B.1.1.529,0.0,,,,,,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.529(1/1)
Coinfection-nanopore2020-5%-error-5%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.89,0.08,scorpio call: Alt alleles 55; Ref alleles 5; Amb alleles 2; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-2%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.89,0.0,scorpio call: Alt alleles 55; Ref alleles 0; Amb alleles 7; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-10%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.87,0.1,scorpio call: Alt alleles 54; Ref alleles 6; Amb alleles 2; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-10%-error-5%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.76,0.1,scorpio call: Alt alleles 47; Ref alleles 6; Amb alleles 9; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-10%-error-10%-minor-variant,BA.2,0.0,,Omicron (Unassigned),0.84,0.09,scorpio call: Alt alleles 27; Ref alleles 3; Amb alleles 2; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-5%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.84,0.1,scorpio call: Alt alleles 52; Ref alleles 6; Amb alleles 4; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-5%-error-2%-minor-variant,BA.2,0.0,,Omicron (BA.2-like),0.87,0.1,scorpio call: Alt alleles 54; Ref alleles 6; Amb alleles 2; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(2/2)
Coinfection-nanopore2020-2%-error-20%-minor-variant,BA.2,0.0,,Probable Omicron (Unassigned),0.56,0.09,scorpio call: Alt alleles 18; Ref alleles 3; Amb alleles 11; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: BA.2(3/3); scorpio found insufficient support to assign a specific lineage
Coinfection-nanopore2020-20%-error-2%-minor-variant,BA.2,0.0,,Omicron (Unassigned),0.72,0.09,scorpio call: Alt alleles 23; Ref alleles 3; Amb alleles 6; Oth alleles 0,PUSHER-v1.25.1,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: BA.2(1/1); scorpio found insufficient support to assign a specific lineage
