ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,28,94
2,47,44,94
3,71,41,94
4,95,21,94
5,113,35,94
6,179,33,94
7,260,48,93
8,303,36,93
9,335,31,94
10,404,19,70
11,417,35,94
12,437,39,94
13,466,38,94
14,467,36,94
15,563,34,94
16,566,34,94
17,647,32,94
18,782,40,94
19,793,33,89
20,821,28,94
21,914,41,94
22,925,41,91
23,1001,40,94
24,1055,33,94
25,1102,36,93
26,1160,42,94
27,1207,24,94
28,1232,30,94
29,1323,33,94
30,1373,37,94
31,1418,41,94
32,1620,35,94
33,1665,25,94
34,1817,34,94
35,1923,34,94
36,1992,29,94
37,2129,30,94
38,2135,31,94
39,2141,28,94
40,2204,23,91
41,2426,30,94
42,2636,35,93
43,2771,33,91
44,2874,27,94
45,2975,44,94
46,3162,40,94
47,3191,32,94
48,3248,41,94
49,3471,38,94
50,3530,37,94
51,3586,32,94
52,3736,28,92
53,3915,17,9
54,4034,30,94
55,4191,19,94
56,4417,17,94
57,4627,41,94
58,4660,37,94
59,4918,42,87
60,5249,37,93
61,5315,39,94
62,5658,38,93
63,7205,51,94
64,7585,49,92
65,7874,49,93
66,8042,46,94
67,9763,48,59
68,9869,38,93
69,10401,44,94
70,10415,47,94
71,10585,46,94
72,11894,41,90
73,12470,43,94
74,14075,49,94
75,16775,35,94
76,18320,50,94
77,21307,41,94
78,21332,41,93
79,21378,22,71
80,21499,40,73
81,21937,19,94
82,21963,15,91
83,22336,17,54
84,22550,20,86
85,22570,48,93
86,22571,22,57
87,22640,21,56
88,22675,22,31
89,23693,52,94
90,24674,54,94
91,24816,50,94
92,24817,50,94
93,25395,34,93
