ID,Column_ID,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_Freq,>Omicron_BA.1__BA.1_EPI_ISL_6795848_South_Africa_2021-11-15_LNum
1,9,29,94
2,47,33,94
3,71,33,94
4,95,21,94
5,113,27,94
6,179,24,94
7,260,27,93
8,303,36,93
9,335,35,94
10,404,4,70
11,417,40,94
12,437,30,94
13,466,38,94
14,467,37,94
15,563,29,94
16,566,27,94
17,647,28,94
18,782,35,94
19,793,31,89
20,821,25,94
21,914,36,94
22,925,39,91
23,1001,36,94
24,1055,39,94
25,1102,36,93
26,1160,35,94
27,1207,19,94
28,1232,26,94
29,1323,24,94
30,1373,35,94
31,1418,36,94
32,1620,28,94
33,1665,28,94
34,1817,42,94
35,1923,31,94
36,1992,31,94
37,2129,34,94
38,2135,31,94
39,2141,33,94
40,2204,27,91
41,2426,39,94
42,2636,28,93
43,2771,23,91
44,2874,26,94
45,2975,30,94
46,3162,34,94
47,3191,32,94
48,3248,40,94
49,3471,30,94
50,3530,31,94
51,3586,32,94
52,3736,22,92
53,3915,22,86
54,4034,27,94
55,4191,4,94
56,4417,0,94
57,4627,31,94
58,4660,33,94
59,4918,35,87
60,5249,24,93
61,5315,33,94
62,5658,27,93
63,7205,40,94
64,7585,27,92
65,7874,36,93
66,8042,30,94
67,9763,28,59
68,9869,38,93
69,10401,35,94
70,10415,33,94
71,10585,35,94
72,11894,33,90
73,12470,35,94
74,14075,41,94
75,16775,32,94
76,18320,37,94
77,21307,32,94
78,21332,36,93
79,21378,3,71
80,21499,0,22
81,21937,38,94
82,21963,27,91
83,22336,0,41
84,22550,0,86
85,22570,40,93
86,22571,42,38
87,22640,38,39
88,22675,42,62
89,23693,34,94
90,24674,35,94
91,24816,38,94
92,24817,38,94
93,25395,27,93
