ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,33,94
2,47,44,94
3,71,40,94
4,95,34,94
5,113,35,94
6,179,26,94
7,260,38,93
8,303,35,93
9,335,31,94
10,404,18,25
11,417,42,94
12,437,40,94
13,466,25,94
14,467,25,94
15,563,38,94
16,566,34,94
17,647,35,94
18,782,35,94
19,793,25,89
20,821,32,94
21,914,34,94
22,925,49,91
23,1001,37,94
24,1055,36,94
25,1102,44,93
26,1160,42,94
27,1207,35,94
28,1232,29,94
29,1323,34,94
30,1373,29,94
31,1418,41,94
32,1620,40,94
33,1665,37,94
34,1817,44,94
35,1923,39,94
36,1992,40,94
37,2129,46,94
38,2135,41,94
39,2141,30,94
40,2204,36,91
41,2426,36,94
42,2636,31,93
43,2771,30,91
44,2874,35,94
45,2975,43,94
46,3162,40,94
47,3191,33,94
48,3248,48,94
49,3471,42,94
50,3530,34,94
51,3586,37,94
52,3736,33,92
53,3915,16,86
54,4034,29,94
55,4191,23,94
56,4417,23,94
57,4627,34,94
58,4660,43,94
59,4918,32,87
60,5249,42,93
61,5315,36,94
62,5658,39,93
63,7205,53,94
64,7585,45,92
65,7874,45,93
66,8042,39,94
67,9763,52,59
68,9869,46,93
69,10401,44,94
70,10415,50,94
71,10585,49,94
72,11894,47,90
73,12470,36,94
74,14075,47,94
75,16775,48,94
76,18320,44,94
77,21307,41,94
78,21332,45,93
79,21378,22,24
80,21499,52,73
81,21937,25,94
82,21963,21,91
83,22336,0,41
84,22550,29,9
85,22570,42,93
86,22571,20,38
87,22640,23,39
88,22675,26,62
89,23693,51,94
90,24674,47,94
91,24816,48,94
92,24817,47,94
93,25395,33,93
