ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,37,94
2,47,41,94
3,71,33,94
4,95,38,94
5,113,35,94
6,179,36,94
7,260,37,93
8,303,42,93
9,335,36,94
10,404,34,25
11,417,28,94
12,437,30,94
13,466,30,94
14,467,30,94
15,563,44,94
16,566,48,94
17,647,35,94
18,782,27,94
19,793,26,89
20,821,22,94
21,914,30,94
22,925,41,91
23,1001,37,94
24,1055,28,94
25,1102,42,93
26,1160,34,94
27,1207,42,94
28,1232,34,94
29,1323,42,94
30,1373,22,94
31,1418,28,94
32,1620,45,94
33,1665,31,94
34,1817,48,94
35,1923,33,94
36,1992,45,94
37,2129,48,94
38,2135,41,94
39,2141,31,94
40,2204,28,91
41,2426,40,94
42,2636,45,93
43,2771,30,91
44,2874,36,94
45,2975,37,94
46,3162,52,94
47,3191,40,94
48,3248,39,94
49,3471,44,94
50,3530,37,94
51,3586,34,94
52,3736,40,92
53,3915,34,86
54,4034,49,94
55,4191,0,94
56,4417,4,94
57,4627,32,94
58,4660,37,94
59,4918,35,87
60,5249,34,93
61,5315,32,94
62,5658,34,93
63,7205,36,94
64,7585,39,92
65,7874,42,93
66,8042,38,94
67,9763,43,59
68,9869,43,93
69,10401,45,94
70,10415,49,94
71,10585,31,94
72,11894,44,90
73,12470,49,94
74,14075,62,94
75,16775,39,94
76,18320,41,94
77,21307,41,94
78,21332,45,93
79,21378,40,24
80,21499,39,73
81,21937,50,94
82,21963,39,91
83,22336,0,41
84,22550,45,9
85,22570,61,93
86,22571,55,38
87,22640,29,39
88,22675,57,62
89,23693,33,94
90,24674,38,94
91,24816,45,94
92,24817,46,94
93,25395,41,93
