ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,39490,94,39490,94
2,47,5174,94,5174,94
3,71,5014,94,5014,94
4,95,5906,94,5906,94
5,113,2900,94,2900,94
6,179,8357,94,8357,94
7,260,0,93
8,303,14515,93,14515,93
9,335,18466,94,18466,94
10,404,5932,70,5932,70
11,417,19818,94,19818,94
12,437,19988,94,19988,94
13,466,17384,94,17384,94
14,467,17377,94,17377,94
15,563,12187,94,12187,94
16,566,12187,94,12187,94
17,647,2176,94,2176,94
18,782,184,94,184,94
19,793,185,89,185,89
20,821,636,94,636,94
21,914,629,94,629,94
22,925,484,91,484,91
23,1001,1946,94,1946,94
24,1055,2157,94,2157,94
25,1102,283,93,283,93
26,1160,6961,94,6961,94
27,1207,19069,94,19069,94
28,1232,19266,94,19266,94
29,1323,13539,94,13539,94
30,1373,550,94,550,94
31,1418,190,94,190,94
32,1620,1016,94,1016,94
33,1665,818,94,818,94
34,1817,3198,94,3198,94
35,1923,395,94,395,94
36,1992,545,94,545,94
37,2129,794,94,794,94
38,2135,762,94,762,94
39,2141,762,94,762,94
40,2204,286,91,286,91
41,2426,655,94,655,94
42,2636,1813,93,1813,93
43,2771,945,91,945,91
44,2874,650,94,650,94
45,2975,432,94,432,94
46,3162,88,94,88,94
47,3191,606,94,606,94
48,3248,0,94
49,3471,83,94,83,94
50,3530,93,94,93,94
51,3586,0,94
52,3736,0,92
53,3915,2171,9,2171,9
54,4034,336,94,336,94
55,4191,1103,94,1103,94
56,4417,467,94,467,94
57,4627,128,94,128,94
58,4660,1803,94,1803,94
59,4918,637,87,637,87
60,5249,1479,93,1479,93
61,5315,3050,94,3050,94
62,5658,0,93
63,7205,8594,94,8594,94
64,7585,625,92,625,92
65,7874,169,93,169,93
66,8042,673,94,673,94
67,9763,3290,59,3290,59
68,9869,1723,93,1723,93
69,10401,224,94,224,94
70,10415,1707,94,1707,94
71,10585,1700,94,1700,94
72,11894,449,90,449,90
73,12470,1444,94,1444,94
74,14075,213,94,213,94
75,16775,7425,94,7425,94
76,18320,580,94,580,94
77,21307,142,94,142,94
78,21332,291,93,291,93
79,21378,0,71
80,21499,5011,73,5011,73
81,21937,262,94,262,94
82,21963,263,91,263,91
83,22336,0,54
84,22550,301,86,301,86
85,22570,0,93
86,22571,0,57
87,22640,0,56
88,22675,96,31,96,31
89,23693,0,94
90,24674,144,94,144,94
91,24816,668,94,668,94
92,24817,667,94,667,94
93,25395,5809,93,5809,93
