ID,Column_ID,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_Freq,>Omicron_BA.1_F643L_A701V__EPI_ISL_8408981_2021-12-14_BA.1_Philippines_PH-PGC-102460_LNum
1,9,314,94
2,47,438,94
3,71,342,94
4,95,349,94
5,113,242,94
6,179,310,94
7,260,189,93
8,303,310,93
9,335,263,94
10,404,260,70
11,417,249,94
12,437,228,94
13,466,244,94
14,467,275,94
15,563,424,94
16,566,411,94
17,647,425,94
18,782,230,94
19,793,203,89
20,821,219,94
21,914,167,94
22,925,208,91
23,1001,147,94
24,1055,106,94
25,1102,178,93
26,1160,232,94
27,1207,209,94
28,1232,198,94
29,1323,201,94
30,1373,188,94
31,1418,100,94
32,1620,253,94
33,1665,126,94
34,1817,100,94
35,1923,68,94
36,1992,85,94
37,2129,97,94
38,2135,73,94
39,2141,66,94
40,2204,156,91
41,2426,184,94
42,2636,238,93
43,2771,134,91
44,2874,136,94
45,2975,229,94
46,3162,102,94
47,3191,143,94
48,3248,327,94
49,3471,123,94
50,3530,66,94
51,3586,68,94
52,3736,70,92
53,3915,16,86
54,4034,253,94
55,4191,216,94
56,4417,228,94
57,4627,101,94
58,4660,173,94
59,4918,284,87
60,5249,206,93
61,5315,198,94
62,5658,20,2
63,7205,38,94
64,7585,38,92
65,7874,61,93
66,8042,111,94
67,9763,88,59
68,9869,164,93
69,10401,176,94
70,10415,130,94
71,10585,102,94
72,11894,99,90
73,12470,170,94
74,14075,167,94
75,16775,311,94
76,18320,144,94
77,21307,220,94
78,21332,159,93
79,21378,122,71
80,21499,19,22
81,21937,40,94
82,21963,65,91
83,22336,14,41
84,22550,15,86
85,22570,58,93
86,22571,8,38
87,22640,13,39
88,22675,0,62
89,23693,117,94
90,24674,201,94
91,24816,115,94
92,24817,117,94
93,25395,310,93
