ID,Column_ID,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_Freq,>Omicron_BA.2_+212SGR__EPI_ISL_8653546_BA.2_Denmark_2022-01-07_LNum
1,9,30,94
2,47,29,94
3,71,31,94
4,95,23,94
5,113,23,94
6,179,27,94
7,260,25,93
8,303,34,93
9,335,31,94
10,404,26,25
11,417,23,94
12,437,29,94
13,466,28,94
14,467,27,94
15,563,35,94
16,566,31,94
17,647,36,94
18,782,24,94
19,793,22,89
20,821,21,94
21,914,32,94
22,925,33,91
23,1001,36,94
24,1055,28,94
25,1102,20,93
26,1160,34,94
27,1207,28,94
28,1232,21,94
29,1323,33,94
30,1373,26,94
31,1418,24,94
32,1620,28,94
33,1665,16,94
34,1817,44,94
35,1923,33,94
36,1992,35,94
37,2129,30,94
38,2135,27,94
39,2141,24,94
40,2204,26,91
41,2426,29,94
42,2636,31,93
43,2771,38,91
44,2874,32,94
45,2975,35,94
46,3162,45,94
47,3191,39,94
48,3248,40,94
49,3471,36,94
50,3530,25,94
51,3586,39,94
52,3736,38,92
53,3915,34,86
54,4034,37,94
55,4191,6,94
56,4417,4,94
57,4627,42,94
58,4660,33,94
59,4918,41,87
60,5249,46,93
61,5315,31,94
62,5658,35,93
63,7205,34,94
64,7585,42,92
65,7874,48,93
66,8042,42,94
67,9763,42,59
68,9869,46,93
69,10401,44,94
70,10415,47,94
71,10585,30,94
72,11894,48,90
73,12470,42,94
74,14075,50,94
75,16775,45,94
76,18320,42,94
77,21307,33,94
78,21332,42,93
79,21378,33,24
80,21499,30,73
81,21937,32,94
82,21963,28,91
83,22336,0,41
84,22550,34,9
85,22570,40,93
86,22571,34,38
87,22640,26,39
88,22675,24,62
89,23693,27,94
90,24674,32,94
91,24816,36,94
92,24817,35,94
93,25395,26,93
