ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_Freq,>AY.98.1_B.1.617.2_T95_.P251L__EPI_ISL_3305991_2021_AY.98.1_France_BRE-IPP17971_LNum
1,9,349968,94,349968,94
2,47,74375,94,74375,94
3,71,68828,94,68828,94
4,95,77908,94,77908,94
5,113,52432,94,52432,94
6,179,109393,94,109393,94
7,260,0,93
8,303,114642,93,114642,93
9,335,185034,94,185034,94
10,404,93046,70,93046,70
11,417,212883,94,212883,94
12,437,213197,94,213197,94
13,466,187308,94,187308,94
14,467,186861,94,186861,94
15,563,78129,94,78129,94
16,566,78146,94,78146,94
17,647,24609,94,24609,94
18,782,10950,94,10950,94
19,793,11134,89,11134,89
20,821,29077,94,29077,94
21,914,28895,94,28895,94
22,925,21075,91,21075,91
23,1001,20283,94,20283,94
24,1055,28542,94,28542,94
25,1102,11241,93,11241,93
26,1160,79199,94,79199,94
27,1207,165468,94,165468,94
28,1232,167194,94,167194,94
29,1323,121946,94,121946,94
30,1373,20261,94,20261,94
31,1418,6306,94,6306,94
32,1620,29173,94,29173,94
33,1665,24444,94,24444,94
34,1817,47969,94,47969,94
35,1923,25807,94,25807,94
36,1992,38676,94,38676,94
37,2129,30709,94,30709,94
38,2135,29404,94,29404,94
39,2141,29290,94,29290,94
40,2204,14679,91,14679,91
41,2426,44735,94,44735,94
42,2636,38419,93,38419,93
43,2771,44078,91,44078,91
44,2874,33872,94,33872,94
45,2975,22439,94,22439,94
46,3162,5384,94,5384,94
47,3191,21375,94,21375,94
48,3248,0,94
49,3471,9387,94,9387,94
50,3530,10294,94,10294,94
51,3586,3869,94,3869,94
52,3736,5013,92,5013,92
53,3915,28806,9,28806,9
54,4034,18762,94,18762,94
55,4191,29730,94,29730,94
56,4417,21606,94,21606,94
57,4627,10250,94,10250,94
58,4660,35705,94,35705,94
59,4918,27253,87,27253,87
60,5249,45410,93,45410,93
61,5315,39790,94,39790,94
62,5658,0,93
63,7205,191536,94,191536,94
64,7585,39691,92,39691,92
65,7874,10105,93,10105,93
66,8042,21629,94,21629,94
67,9763,136175,59,136175,59
68,9869,71955,93,71955,93
69,10401,14646,94,14646,94
70,10415,42265,94,42265,94
71,10585,60048,94,60048,94
72,11894,28505,90,28505,90
73,12470,29475,94,29475,94
74,14075,16385,94,16385,94
75,16775,102664,94,102664,94
76,18320,22138,94,22138,94
77,21307,1696,94,1696,94
78,21332,4984,93,4984,93
79,21378,0,71
80,21499,45405,73,45405,73
81,21937,11361,94,11361,94
82,21963,11457,91,11457,91
83,22336,0,54
84,22550,20828,86,20828,86
85,22570,0,93
86,22571,0,57
87,22640,0,56
88,22675,20884,31,20884,31
89,23693,0,94
90,24674,7518,94,7518,94
91,24816,20182,94,20182,94
92,24817,20201,94,20201,94
93,25395,120078,93,120078,93
