ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,10,94
2,47,18,94
3,71,16,94
4,95,18,94
5,113,22,94
6,179,44,94
7,260,57,93
8,303,65,93
9,335,57,94
10,404,48,25
11,417,62,94
12,437,69,94
13,466,60,94
14,467,58,94
15,563,96,94
16,566,95,94
17,647,79,94
18,782,32,94
19,793,34,89
20,821,32,94
21,914,47,94
22,925,57,91
23,1001,50,94
24,1055,53,94
25,1102,61,93
26,1160,62,94
27,1207,63,94
28,1232,71,94
29,1323,66,94
30,1373,60,94
31,1418,77,94
32,1620,75,94
33,1665,51,94
34,1817,54,94
35,1923,37,94
36,1992,54,94
37,2129,36,94
38,2135,35,94
39,2141,35,94
40,2204,29,91
41,2426,39,94
42,2636,39,93
43,2771,35,91
44,2874,39,94
45,2975,44,94
46,3162,36,94
47,3191,40,94
48,3248,44,94
49,3471,42,94
50,3530,31,94
51,3586,43,94
52,3736,39,92
53,3915,32,86
54,4034,18,94
55,4191,44,94
56,4417,47,94
57,4627,50,94
58,4660,46,94
59,4918,49,87
60,5249,56,93
61,5315,61,94
62,5658,37,93
63,7205,53,94
64,7585,58,92
65,7874,63,93
66,8042,37,94
67,9763,50,59
68,9869,62,93
69,10401,51,94
70,10415,46,94
71,10585,52,94
72,11894,32,90
73,12470,36,94
74,14075,80,94
75,16775,41,94
76,18320,52,94
77,21307,49,94
78,21332,56,93
79,21378,56,24
80,21499,50,73
81,21937,61,94
82,21963,45,91
83,22336,30,41
84,22550,51,86
85,22570,55,93
86,22571,51,38
87,22640,37,39
88,22675,54,62
89,23693,79,94
90,24674,57,94
91,24816,69,94
92,24817,70,94
93,25395,68,93
