ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,27,94
2,47,29,94
3,71,39,94
4,95,24,94
5,113,27,94
6,179,23,94
7,260,32,93
8,303,33,93
9,335,29,94
10,404,9,70
11,417,35,94
12,437,35,94
13,466,30,94
14,467,30,94
15,563,30,94
16,566,31,94
17,647,32,94
18,782,38,94
19,793,40,89
20,821,22,94
21,914,40,94
22,925,39,91
23,1001,42,94
24,1055,41,94
25,1102,35,93
26,1160,45,94
27,1207,34,94
28,1232,30,94
29,1323,26,94
30,1373,38,94
31,1418,38,94
32,1620,35,94
33,1665,21,94
34,1817,36,94
35,1923,40,94
36,1992,40,94
37,2129,42,94
38,2135,36,94
39,2141,32,94
40,2204,27,91
41,2426,39,94
42,2636,26,93
43,2771,33,91
44,2874,30,94
45,2975,42,94
46,3162,46,94
47,3191,47,94
48,3248,42,94
49,3471,47,94
50,3530,38,94
51,3586,39,94
52,3736,28,92
53,3915,7,9
54,4034,28,94
55,4191,8,94
56,4417,7,94
57,4627,42,94
58,4660,43,94
59,4918,37,87
60,5249,43,93
61,5315,36,94
62,5658,43,93
63,7205,50,94
64,7585,37,92
65,7874,45,93
66,8042,45,94
67,9763,46,59
68,9869,46,93
69,10401,43,94
70,10415,46,94
71,10585,37,94
72,11894,50,90
73,12470,45,94
74,14075,52,94
75,16775,33,94
76,18320,50,94
77,21307,36,94
78,21332,46,93
79,21378,6,71
80,21499,37,73
81,21937,34,94
82,21963,28,91
83,22336,4,54
84,22550,8,86
85,22570,48,93
86,22571,8,57
87,22640,7,56
88,22675,7,31
89,23693,35,94
90,24674,49,94
91,24816,50,94
92,24817,49,94
93,25395,35,93
