ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,46,94
2,47,54,94
3,71,35,94
4,95,37,94
5,113,26,94
6,179,46,94
7,260,54,93
8,303,78,93
9,335,77,94
10,404,78,70
11,417,66,94
12,437,42,94
13,466,28,94
14,467,49,94
15,563,140,94
16,566,136,94
17,647,75,94
18,782,30,94
19,793,26,89
20,821,32,94
21,914,46,94
22,925,39,91
23,1001,23,94
24,1055,24,94
25,1102,25,93
26,1160,29,94
27,1207,22,94
28,1232,48,94
29,1323,7,94
30,1373,43,94
31,1418,20,94
32,1620,78,94
33,1665,34,94
34,1817,21,94
35,1923,9,94
36,1992,29,94
37,2129,40,94
38,2135,26,94
39,2141,21,94
40,2204,27,91
41,2426,14,94
42,2636,35,93
43,2771,19,91
44,2874,32,94
45,2975,44,94
46,3162,43,94
47,3191,47,94
48,3248,83,94
49,3471,7,94
50,3530,12,94
51,3586,13,94
52,3736,15,92
53,3915,20,9
54,4034,40,94
55,4191,37,94
56,4417,50,94
57,4627,13,94
58,4660,25,94
59,4918,82,87
60,5249,36,93
61,5315,42,94
62,5658,27,93
63,7205,3,94
64,7585,10,92
65,7874,30,93
66,8042,25,94
67,9763,22,59
68,9869,31,93
69,10401,30,94
70,10415,19,94
71,10585,15,94
72,11894,31,90
73,12470,64,94
74,14075,26,94
75,16775,55,94
76,18320,33,94
77,21307,99,94
78,21332,69,93
79,21378,37,71
80,21499,0,73
81,21937,10,94
82,21963,12,91
83,22336,13,54
84,22550,6,86
85,22570,7,93
86,22571,6,57
87,22640,0,56
88,22675,3,31
89,23693,14,94
90,24674,21,94
91,24816,29,94
92,24817,29,94
93,25395,73,93
