ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,1179,94
2,47,1235,94
3,71,1304,94
4,95,1990,94
5,113,1987,94
6,179,2528,94
7,260,1582,93
8,303,1688,93
9,335,1706,94
10,404,1336,70
11,417,1503,94
12,437,1602,94
13,466,1524,94
14,467,1598,94
15,563,1877,94
16,566,1856,94
17,647,2298,94
18,782,899,94
19,793,881,89
20,821,1091,94
21,914,2648,94
22,925,3480,91
23,1001,2631,94
24,1055,1949,94
25,1102,3245,93
26,1160,4566,94
27,1207,5596,94
28,1232,5229,94
29,1323,5052,94
30,1373,4251,94
31,1418,2831,94
32,1620,5092,94
33,1665,5738,94
34,1817,5512,94
35,1923,2887,94
36,1992,1016,94
37,2129,1491,94
38,2135,1230,94
39,2141,1073,94
40,2204,1648,91
41,2426,2184,94
42,2636,2524,93
43,2771,1730,91
44,2874,913,94
45,2975,1447,94
46,3162,2446,94
47,3191,2388,94
48,3248,3315,94
49,3471,3040,94
50,3530,2311,94
51,3586,1395,94
52,3736,1331,92
53,3915,3016,9
54,4034,0,94
55,4191,0,94
56,4417,0,94
57,4627,0,94
58,4660,0,94
59,4918,0,87
60,5249,5499,93
61,5315,6341,94
62,5658,3501,93
63,7205,10140,94
64,7585,7623,92
65,7874,3864,93
66,8042,13477,94
67,9763,196,59
68,9869,458,93
69,10401,3751,94
70,10415,3700,94
71,10585,4841,94
72,11894,1921,90
73,12470,3419,94
74,14075,4152,94
75,16775,2006,94
76,18320,6303,94
77,21307,3637,94
78,21332,3924,93
79,21378,8538,71
80,21499,6804,73
81,21937,4489,94
82,21963,7096,91
83,22336,3304,54
84,22550,0,86
85,22570,2298,93
86,22571,2295,57
87,22640,2535,56
88,22675,1913,31
89,23693,1415,94
90,24674,541,94
91,24816,445,94
92,24817,444,94
93,25395,521,93
