ID,Column_ID,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_Freq,>AY.25_B.1.617.2_S112L__EPI_ISL_2295285_2021-04-23_AY.25_USA_OK-CDC-4114730-001_LNum
1,9,2965,94
2,47,3440,94
3,71,2789,94
4,95,2855,94
5,113,1840,94
6,179,2563,94
7,260,1802,93
8,303,2307,93
9,335,2288,94
10,404,2369,70
11,417,2192,94
12,437,2047,94
13,466,1985,94
14,467,2158,94
15,563,4064,94
16,566,3981,94
17,647,3832,94
18,782,1814,94
19,793,1633,89
20,821,1737,94
21,914,1486,94
22,925,1885,91
23,1001,1451,94
24,1055,1063,94
25,1102,1570,93
26,1160,2031,94
27,1207,1713,94
28,1232,1525,94
29,1323,1535,94
30,1373,1368,94
31,1418,795,94
32,1620,2021,94
33,1665,1247,94
34,1817,867,94
35,1923,581,94
36,1992,721,94
37,2129,738,94
38,2135,544,94
39,2141,479,94
40,2204,1163,91
41,2426,1307,94
42,2636,1437,93
43,2771,770,91
44,2874,1120,94
45,2975,1412,94
46,3162,810,94
47,3191,1002,94
48,3248,2246,94
49,3471,959,94
50,3530,704,94
51,3586,603,94
52,3736,663,92
53,3915,278,9
54,4034,1689,94
55,4191,1710,94
56,4417,1838,94
57,4627,588,94
58,4660,1036,94
59,4918,2325,87
60,5249,1476,93
61,5315,1486,94
62,5658,492,93
63,7205,410,94
64,7585,420,92
65,7874,626,93
66,8042,923,94
67,9763,933,59
68,9869,1537,93
69,10401,1297,94
70,10415,968,94
71,10585,824,94
72,11894,786,90
73,12470,1468,94
74,14075,1377,94
75,16775,2487,94
76,18320,1200,94
77,21307,2038,94
78,21332,1426,93
79,21378,1165,71
80,21499,276,73
81,21937,387,94
82,21963,491,91
83,22336,324,54
84,22550,265,86
85,22570,505,93
86,22571,272,57
87,22640,171,56
88,22675,97,31
89,23693,919,94
90,24674,1527,94
91,24816,921,94
92,24817,918,94
93,25395,2739,93
